code;titre;traduction;paragraphes;fichier
47-0412;La Foi Est l'Assurance;SHEKINAH;106;47-0412 - La Foi Est l'Assurance.txt
47-1100;Communion;SHEKINAH;1;47-1100 - Communion.txt
47-1102;L'Ange de Dieu (L'Ange et Sa Commission);SHEKINAH;51;47-1102 - L'Ange de Dieu (L'Ange et Sa Commission).txt
47-1123;Les Enfants d’Israël (Les enfants dans le désert);SHEKINAH;5;47-1123 - Les Enfants d’Israël (Les enfants dans le désert).txt
47-1207;Expériences #1;SHEKINAH;97;47-1207 - Expériences #1.txt
47-1221;Expériences #2;SHEKINAH;24;47-1221 - Expériences #2.txt
48-0000;Ligne De Prière;SHEKINAH;27;48-0000 - Ligne De Prière.txt
48-0302;Expériences;SHEKINAH;147;48-0302 - Expériences.txt
48-0304;L'Ange De Dieu;SHEKINAH;61;48-0304 - L'Ange De Dieu.txt
48-0305;Sur Ta Parole, Seigneur;SHEKINAH;50;48-0305 - Sur Ta Parole, Seigneur.txt
49-0718;Je N'ai Point Été Désobéissant À La Vision Céleste;SHEKINAH;33;49-0718 - Je N'ai Point Été Désobéissant À La Vision Céleste.txt
49-1225;La Divinité De Jésus-Christ;SHEKINAH;148;49-1225 - La Divinité De Jésus-Christ.txt
50-0100;Les Maladies et les Afflictions;SHEKINAH;177;50-0100 - Les Maladies et les Afflictions.txt
50-0110;La Commission De Moise, (L'explication De Deux Signes);SHEKINAH;53;50-0110 - La Commission De Moise, (L'explication De Deux Signes).txt
50-0115;Crois-Tu Cela?;SHEKINAH;67;50-0115 - Crois-Tu Cela.txt
50-0200;Nous N’avons Point Ici-Bas De Cité Permanente;SHEKINAH;70;50-0200 - Nous N’avons Point Ici-Bas De Cité Permanente.txt
50-0227;Dieu Dans Son Peuple;SHEKINAH;35;50-0227 - Dieu Dans Son Peuple.txt
50-0300;Les Dons Et Les Appels Sont Sans Repentir;SHEKINAH;36;50-0300 - Les Dons Et Les Appels Sont Sans Repentir.txt
50-0405;Expectative;SHEKINAH;87;50-0405 - Expectative.txt
50-0409;Service De Baptême;SHEKINAH;8;50-0409 - Service De Baptême.txt
50-0711;Le Ministère Expliqué;SHEKINAH;55;50-0711 - Le Ministère Expliqué.txt
50-0713;Obéis À La Voix De l’Ange;SHEKINAH;10;50-0713 - Obéis À La Voix De l’Ange.txt
50-0714;Sur Ta Parole;SHEKINAH;46;50-0714 - Sur Ta Parole.txt
50-0715;Conduit Par l'Esprit;SHEKINAH;33;50-0715 - Conduit Par l'Esprit.txt
50-0716;Crois-Tu Cela?;SHEKINAH;91;50-0716 - Crois-Tu Cela.txt
50-0808;La Guérison Et Ce Qu'est La Maladie;SHEKINAH;24;50-0808 - La Guérison Et Ce Qu'est La Maladie.txt
50-0810;Expectative;SHEKINAH;5;50-0810 - Expectative.txt
50-0811;La Piscine De Bethesda;SHEKINAH;35;50-0811 - La Piscine De Bethesda.txt
50-0813A;La Resurrection de Lazare;SHEKINAH;59;50-0813A - La Resurrection de Lazare.txt
50-0813E;Dieu Se Révèle À Son Peuple;SHEKINAH;70;50-0813E - Dieu Se Révèle À Son Peuple.txt
50-0814;Témoignage;SHEKINAH;49;50-0814 - Témoignage.txt
50-0815;L'Attitude Et Qui Est Dieu?;SHEKINAH;60;50-0815 - L'Attitude Et Qui Est Dieu.txt
50-0816;Regarder À l’Invisible;SHEKINAH;46;50-0816 - Regarder À l’Invisible.txt
50-0818;Il En Sera Comme Il M’a Été Dit;SHEKINAH;67;50-0818 - Il En Sera Comme Il M’a Été Dit.txt
50-0819;Montre-Nous Le Père Et Cela Nous Suffit;SHEKINAH;71;50-0819 - Montre-Nous Le Père Et Cela Nous Suffit.txt
50-0820A;Histoire De Ma Vie;SHEKINAH;132;50-0820A - Histoire De Ma Vie.txt
50-0820E;Croyez-Vous Que Je Puisse Faire Cela?;SHEKINAH;79;50-0820E - Croyez-Vous Que Je Puisse Faire Cela.txt
50-0821;L’Ange Et La Commission;SHEKINAH;73;50-0821 - L’Ange Et La Commission.txt
50-0822;La Foi Sans Les Œuvres Est Morte;SHEKINAH;68;50-0822 - La Foi Sans Les Œuvres Est Morte.txt
50-0823;Témoignage;SHEKINAH;66;50-0823 - Témoignage.txt
50-0824;Et À Qui Le Bras De L'Éternel A-T-Il Été Révélé ?;SHEKINAH;46;50-0824 - Et À Qui Le Bras De L'Éternel A-T-Il Été Révélé.txt
50-0827A;Enfant Prodigue;SHEKINAH;55;50-0827A - Enfant Prodigue.txt
50-0827E;Prends La Verge Et Convoque l’Assemblée;SHEKINAH;5;50-0827E - Prends La Verge Et Convoque l’Assemblée.txt
51-0413;Les Œuvres Que Je Fais Rendent Témoignage De Moi;SHEKINAH;53;51-0413 - Les Œuvres Que Je Fais Rendent Témoignage De Moi.txt
51-0414;L'Ange Et Les Trois Pulls;SHEKINAH;43;51-0414 - L'Ange Et Les Trois Pulls.txt
51-0415A;Histoire De Ma Vie;SHEKINAH;126;51-0415A - Histoire De Ma Vie.txt
51-0415E;L'Heure Est Venue;SHEKINAH;53;51-0415E - L'Heure Est Venue.txt
51-0501;Exhortation Sur La Guérison Divine;SHEKINAH;73;51-0501 - Exhortation Sur La Guérison Divine.txt
51-0502;L'Ange de l’Éternel;SHEKINAH;72;51-0502 - L'Ange de l’Éternel.txt
51-0503;Je Serai Avec Toi, Comme J’ai Été Avec Moïse;SHEKINAH;56;51-0503 - Je Serai Avec Toi, Comme J’ai Été Avec Moïse.txt
51-0505;Ma Commission;SHEKINAH;91;51-0505 - Ma Commission.txt
51-0506A;Crois-Tu Cela?;SHEKINAH;54;51-0506A - Crois-Tu Cela.txt
51-0506E;Sur Ta Parole;SHEKINAH;53;51-0506E - Sur Ta Parole.txt
51-0507;Expectative;SHEKINAH;45;51-0507 - Expectative.txt
51-0508;La Foi Est Une Ferme Assurance;SHEKINAH;86;51-0508 - La Foi Est Une Ferme Assurance.txt
51-0509;Témoignage;SHEKINAH;97;51-0509 - Témoignage.txt
51-0714;Expectative;SHEKINAH;71;51-0714 - Expectative.txt
51-0717;La Manifestation De l’Esprit;SHEKINAH;74;51-0717 - La Manifestation De l’Esprit.txt
51-0718;L’Ange Du Seigneur;SHEKINAH;59;51-0718 - L’Ange Du Seigneur.txt
51-0719;Qui A Cru À Ce Qui Nous Était Annoncé?;SHEKINAH;59;51-0719 - Qui A Cru À Ce Qui Nous Était Annoncé.txt
51-0720;L’Ange De Dieu;SHEKINAH;57;51-0720 - L’Ange De Dieu.txt
51-0721;La Vie Des Demons Et Les Visions;SHEKINAH;40;51-0721 - La Vie Des Demons Et Les Visions.txt
51-0722A;Histoire De Ma Vie;SHEKINAH;105;51-0722A - Histoire De Ma Vie.txt
51-0722E;Le Second Miracle;SHEKINAH;20;51-0722E - Le Second Miracle.txt
51-0727;La Seule Vraie Église Vivante;SHEKINAH;91;51-0727 - La Seule Vraie Église Vivante.txt
51-0728;Trois Témoins;SHEKINAH;80;51-0728 - Trois Témoins.txt
51-0729A;La Résurrection De Lazare;SHEKINAH;100;51-0729A - La Résurrection De Lazare.txt
51-0729E;Le Second Miracle;SHEKINAH;88;51-0729E - Le Second Miracle.txt
51-0923;Les Principes De La Guérison Divine;SHEKINAH;104;51-0923 - Les Principes De La Guérison Divine.txt
51-0928;Par Ta Parole;SHEKINAH;71;51-0928 - Par Ta Parole.txt
51-0929;Notre Espoir Repose En Dieu;SHEKINAH;63;51-0929 - Notre Espoir Repose En Dieu.txt
51-0930A;Que Pensez-Vous Du Christ?;SHEKINAH;126;51-0930A - Que Pensez-Vous Du Christ.txt
51-0930E;Expectative;SHEKINAH;81;51-0930E - Expectative.txt
51-1003;Crois-Tu Cela?;SHEKINAH;76;51-1003 - Crois-Tu Cela.txt
52-0224;Croire En Dieu;SHEKINAH;183;52-0224 - Croire En Dieu.txt
52-0713A;Les Premières Expériences Spirituelles;SHEKINAH;67;52-0713A - Les Premières Expériences Spirituelles.txt
52-0713E;Dieu Rend Témoignage À Ses Dons;SHEKINAH;90;52-0713E - Dieu Rend Témoignage À Ses Dons.txt
52-0715;La Foi Dans Le Fils De Dieu;SHEKINAH;76;52-0715 - La Foi Dans Le Fils De Dieu.txt
52-0716;Tu Connais Toutes Choses;SHEKINAH;74;52-0716 - Tu Connais Toutes Choses.txt
52-0717;Amène Les Gens À Croire;SHEKINAH;72;52-0717 - Amène Les Gens À Croire.txt
52-0718;C'Est Par Egard Pour Lui Seul;SHEKINAH;56;52-0718 - C'Est Par Egard Pour Lui Seul.txt
