ref;traduction;code;paragraphe;nb_mots;mots
Luc 24:44;SKN;47-0412;10;2;accomplies soient
Luc 11:24;SKN;47-0412;15;2;cherchant repos
Luc 24:30;SKN;47-0412;31;2;rompu table
Luc 17:15;SKN;47-0412;33;2;dentre haute
Luc 24:19;SKN;47-0412;34;2;celles puissant
Luc 11:24;SKN;47-0412;43;2;cherchant nen
Luc 7:38;SKN;47-0412;87;2;larmes tenant
Luc 7:38;SKN;47-0412;88;2;cheveux larmes
Luc 7:44;SKN;47-0412;88;2;cheveux larmes
Luc 19:5;SKN;47-0412;88;2;endroit regardant
Luc 16:24;SKN;47-0412;90;2;aie pitie
Luc 16:24;SKN;47-0412;97;2;aie pitie
Luc 1:80;SKN;47-1102;5;2;jusquau lenfant
Luc 1:52;SKN;47-1102;20;2;descendre eleve
Luc 24:19;SKN;47-1102;21;2;puissant uvre
Luc 24:19;SKN;47-1102;44;2;celles puissant
Luc 16:24;SKN;47-1102;45;2;aie pitie
Luc 16:24;SKN;47-1102;49;2;aie pitie
Luc 1:52;SKN;47-1123;5;2;descendre eleve
Luc 5:8;SKN;47-1123;5;2;pecheur retire
Luc 7:42;SKN;47-1123;5;2;dette lequel
Luc 7:43;SKN;47-1123;5;2;davantage juge
Luc 17:22;SKN;47-1123;5;2;disciples viendront
Luc 18:2;SKN;47-1123;5;2;certain juge
Luc 18:43;SKN;47-1123;5;2;louange vue
Luc 19:2;SKN;47-1123;5;2;appele riche
Luc 21:36;SKN;47-1123;5;2;arriver priant
Luc 24:17;SKN;47-1123;5;2;marchant tenez
Luc 24:18;SKN;47-1123;5;2;arrivees jerusalem
Luc 24:23;SKN;47-1123;5;2;disent venues
Luc 24:27;SKN;47-1123;5;2;prophetes regardent
Luc 24:35;SKN;47-1123;5;2;arrivees chemin
Luc 7:49;SKN;47-1207;3;2;memes table
Luc 24:21;SKN;47-1207;30;2;israel troisieme
Luc 7:47;SKN;47-1207;62;2;pardonne pardonnes
Luc 16:24;SKN;47-1207;81;2;aie pitie
Luc 16:24;SKN;47-1207;84;2;aie pitie
Luc 16:24;SKN;47-1207;87;2;aie pitie
Luc 16:24;SKN;47-1207;95;2;aie pitie
Luc 7:40;SKN;47-1221;23;2;maitre simon
Luc 8:50;SKN;47-1221;23;2;layant repondit
Luc 24:1;SKN;47-1221;23;2;quelles vinrent
Luc 16:24;SKN;48-0000;4;2;aie pitie
Luc 16:24;SKN;48-0000;5;2;aie pitie
Luc 16:24;SKN;48-0000;21;2;aie pitie
Luc 2:10;SKN;48-0000;26;2;nayez peur
Luc 17:7;SKN;48-0000;26;2;dentre revient
Luc 18:41;SKN;48-0302;1;2;recouvre vue
Luc 18:42;SKN;48-0302;1;2;recouvre vue
Luc 7:36;SKN;48-0302;7;2;entrant table
Luc 7:38;SKN;48-0302;12;2;cheveux pleurant
Luc 7:47;SKN;48-0302;20;2;pardonne pardonnes
Luc 19:5;SKN;48-0302;66;2;regardant vite
Luc 7:37;SKN;48-0302;76;2;plein table
Luc 24:30;SKN;48-0302;76;2;pain table
Luc 16:24;SKN;48-0302;88;2;aie pitie
Luc 16:24;SKN;48-0302;89;2;aie pitie
Luc 16:24;SKN;48-0302;98;2;aie pitie
Luc 17:7;SKN;48-0302;98;2;avance revient
Luc 19:5;SKN;48-0302;98;2;descends vite
Luc 10:4;SKN;48-0302;101;2;chemin portez
Luc 16:24;SKN;48-0302;101;2;aie pitie
Luc 16:22;SKN;48-0302;103;2;pauvre riche
Luc 16:24;SKN;48-0302;106;2;aie pitie
