ref;traduction;code;paragraphe;nb_mots;mots
Jean 5:7;SKN;47-0412;5;2;leau nai
Esaie 9:5;SKN;47-0412;7;2;manteau seront
Matthieu 24:24;SKN;47-0412;10;2;grands prodiges
Matthieu 1:18;SKN;47-0412;10;2;ensemble soient
Genese 1:11;SKN;47-0412;10;2;fruit portant
Genese 3:16;SKN;47-0412;10;2;grandes tes
Apocalypse 17:17;SKN;47-0412;10;2;accomplies soient
Apocalypse 22:8;SKN;47-0412;10;2;lange pieds
Hebreux 12:25;SKN;47-0412;11;2;nont parlait
Apocalypse 22:18;SKN;47-0412;13;2;paroles temoignage
Hebreux 11:1;SKN;47-0412;13;3;celles espere voit
Apocalypse 20:4;SKN;47-0412;13;2;fut temoignage
Hebreux 11:1;SKN;47-0412;14;3;celles espere voit
Hebreux 6:4;SKN;47-0412;17;2;goute impossible
Matthieu 10:1;SKN;47-0412;19;2;ayant guerir
Hebreux 11:1;SKN;47-0412;19;3;celles espere voit
Ephesiens 1:13;SKN;47-0412;19;2;ayant espere
Ephesiens 1:13-14;SKN;47-0412;19;2;ayant espere
Hebreux 4:14;SKN;47-0412;19;2;ayant ferme
Apocalypse 17:17;SKN;47-0412;21;2;curs donner
Hebreux 11:1;SKN;47-0412;22;3;celles espere voit
Hebreux 11:1;SKN;47-0412;34;3;celles espere voit
Marc 11:23;SKN;47-0412;43;3;mer montagne ote
Apocalypse 22:19;SKN;47-0412;43;2;larbre ote
Genese 1:11;SKN;47-0412;43;2;fruit larbre
Jean 12:24;SKN;47-0412;43;2;fruit grain
Esaie 50:6;SKN;47-0412;46;2;face nai
Apocalypse 17:8;SKN;47-0412;48;2;noms vue
Hebreux 11:1;SKN;47-0412;48;3;celles espere voit
Hebreux 11:1;SKN;47-0412;49;2;celles espere
Hebreux 11:1;SKN;47-0412;53;2;espere voit
Jean 5:7;SKN;47-0412;55;2;leau nai
Hebreux 11:1;SKN;47-0412;57;3;celles espere voit
Hebreux 11:1;SKN;47-0412;59;3;celles espere voit
Apocalypse 20:4;SKN;47-0412;64;2;rendu temoignage
Jean 5:24;SKN;47-0412;65;2;envoye jugement
Apocalypse 22:18;SKN;47-0412;66;2;rends temoignage
Actes 2:38;SKN;47-0412;67;2;don peches
Apocalypse 17:3;SKN;47-0412;67;2;blaspheme desert
Luc 1:17;SKN;47-0412;67;2;curs delie
Apocalypse 20:4;SKN;47-0412;68;2;rendu temoignage
Apocalypse 20:4;SKN;47-0412;70;2;rendu temoignage
Actes 2:38;SKN;47-0412;72;2;don peches
Matthieu 24:24;SKN;47-0412;72;2;faux prophetes
Hebreux 1:1;SKN;47-0412;72;2;plusieurs prophetes
Apocalypse 22:18;SKN;47-0412;72;2;prophetie temoignage
Actes 20:24;SKN;47-0412;72;2;pourvu temoignage
Apocalypse 20:4;SKN;47-0412;76;3;jugement rendu temoignage
Esaie 50:6;SKN;47-0412;77;2;joues nai
Actes 20:24;SKN;47-0412;77;2;service temoignage
Hebreux 13:10;SKN;47-0412;79;2;droit tabernacle
Esaie 60:1;SKN;47-0412;79;2;leve levee
Jean 3:21;SKN;47-0412;81;2;manifestees uvres
Jean 5:39;SKN;47-0412;90;2;rendent temoignage
Apocalypse 20:4;SKN;47-0412;93;2;rendu temoignage
Apocalypse 13:14;SKN;47-0412;95;2;fut miracles
Apocalypse 6:11;SKN;47-0412;95;2;fut soient
Apocalypse 20:4;SKN;47-0412;95;2;fut temoignage
Jean 5:24;SKN;47-0412;96;2;croit envoye
Hebreux 6:4;SKN;47-0412;96;2;don impossible
Matthieu 10:1;SKN;47-0412;96;2;guerir maladie
Apocalypse 20:4;SKN;47-0412;96;2;rendu temoignage
Actes 20:24;SKN;47-0412;96;2;rendre temoignage
Hebreux 3:1;SKN;47-0412;97;2;celeste saints
Apocalypse 10:1;SKN;47-0412;98;2;ange puissant
Apocalypse 10:1-7;SKN;47-0412;98;2;ange puissant
Apocalypse 22:18;SKN;47-0412;99;2;paroles temoignage
Actes 20:24;SKN;47-0412;99;2;cas temoignage
Amos 3:7;SKN;47-0412;104;2;revele serviteurs
Apocalypse 10:1;SKN;47-0412;105;2;ange pieds
Apocalypse 10:1-7;SKN;47-0412;105;2;ange pieds
Apocalypse 19:21;SKN;47-0412;105;2;bouche tue
Apocalypse 10:7;SKN;47-0412;106;2;trompette voix
Apocalypse 1:10;SKN;47-0412;106;2;trompette voix
Apocalypse 10:7;SKN;47-1100;1;2;trompette voix
Apocalypse 1:10;SKN;47-1100;1;2;trompette voix
Matthieu 24:29;SKN;47-1102;1;3;lune seront soleil
Apocalypse 21:23;SKN;47-1102;1;2;lune soleil
Josue 10:12;SKN;47-1102;1;2;lune soleil
Matthieu 24:29;SKN;47-1102;2;2;aussitot seront
Apocalypse 10:1;SKN;47-1102;3;2;ange puissant
Apocalypse 10:7;SKN;47-1102;3;2;ange annonce
Apocalypse 10:1-7;SKN;47-1102;3;2;ange puissant
Esaie 53:12;SKN;47-1102;5;2;compte plusieurs
Jean 16:21;SKN;47-1102;5;2;heure lenfant
Apocalypse 17:17;SKN;47-1102;11;2;donner soient
Joel 2:28;SKN;47-1102;12;2;filles jeunes
Matthieu 12:42;SKN;47-1102;13;2;entendre midi
Apocalypse 17:17;SKN;47-1102;13;2;pensee soient
Matthieu 24:7;SKN;47-1102;13;2;aura lieux
Jean 3:21;SKN;47-1102;13;2;manifestees soient
Actes 2:4;SKN;47-1102;14;2;dautres furent
Apocalypse 17:17;SKN;47-1102;16;2;curs soient
Jean 3:21;SKN;47-1102;16;2;quelles soient
Luc 16:16;SKN;47-1102;19;2;annonce lors
Zacharie 14:6;SKN;47-1102;19;2;arrivera aura
Esaie 27:12;SKN;47-1102;19;2;arrivera disrael
Matthieu 1:18;SKN;47-1102;20;2;joseph naissance
Apocalypse 10:7;SKN;47-1102;20;2;ange voix
Apocalypse 21:19;SKN;47-1102;21;2;premier second
Apocalypse 13:14;SKN;47-1102;22;2;fut miracles
Apocalypse 20:4;SKN;47-1102;22;2;fut temoignage
Apocalypse 16:13;SKN;47-1102;22;2;esprits faux
Jean 5:24;SKN;47-1102;23;2;envoye jugement
Actes 2:38;SKN;47-1102;23;2;peches repentez
Apocalypse 22:18;SKN;47-1102;23;2;ecrites prophetie
Apocalypse 10:1;SKN;47-1102;25;2;ange visage
Apocalypse 10:1-7;SKN;47-1102;25;2;ange visage
Actes 2:38;SKN;47-1102;26;2;don peches
Matthieu 24:29;SKN;47-1102;28;2;donnera lune
Psaumes 16:8;SKN;47-1102;28;2;droite serai
Matthieu 24:24;SKN;47-1102;29;2;faux possible
Hebreux 9:11;SKN;47-1102;29;2;etant parfait
Hebreux 9:11-14;SKN;47-1102;29;2;etant parfait
