ref;traduction;code;paragraphe;statut;note
Actes 2:38;SKN;60-1225;42;EXACT;repentez chacun soit baptise nom jesus christ peches [couverture 11/14]
Actes 10:35;SKN;60-1225;97;PARTIEL;commencé, pas achevé — nation
Apocalypse 1:20;SKN;60-1225;105;PARTIEL;commencé, pas achevé — etoiles
Apocalypse 20:0;SKN;60-1225;105;VALIDE;chap->v.4: vis etaient avaient jesus
Luc 2:7;SKN;60-1225;10;VALIDE;monde fils premier lemmaillota coucha creche parce quil
Matthieu 1:5;SKN;60-1225;17;PARTIEL;commencé, pas achevé — salmon
1 Chroniques 13:0;SKN;65-0718M;27;VALIDE;chap->v.2: david cela bon cela vienne dieu nos
1 Chroniques 13:0;SKN;65-0718M;29;VALIDE;chap->v.2: david cela bon cela vienne dieu nos
Amos 3:7;SKN;65-0718M;117;VALIDE;seigneur rien revele prophetes
Amos 3:7;SKN;65-0718M;158;VALIDE;seigneur fera revele
Amos 3:7;SKN;65-0718M;160;VALIDE;seigneur fera rien revele
Apocalypse 10:0;SKN;65-0718M;147;VALIDE;chap->v.7: jours sera mystere dieu sera annonce
Apocalypse 10:0;SKN;65-0718M;166;VALIDE;chap->v.7: jours septieme ange sonner trompette mystere dieu
Apocalypse 10:0;SKN;65-0718M;178;VALIDE;chap->v.4: sept parle disant choses sept
Deuteronome 4:0;SKN;65-0718M;186;VALIDE;chap->v.1: maintenant israel ecoute ordonnances enseigne afin viviez entriez
Joel 2:28;SKN;65-0718M;152;PARTIEL;commencé, pas achevé — apres cela
Luc 7:7;SKN;65-0718M;138;VALIDE;suis meme dis parole
Luc 17:30;SKN;65-0718M;178;PARTIEL;commencé, pas achevé — fils
Malachie 4:0;SKN;65-0718M;147;VALIDE;chap->v.5: envoie prophete avant jour
Malachie 4:0;SKN;65-0718M;171;VALIDE;chap->v.5: voici prophete avant vienne grand jour
Malachie 4:0;SKN;65-0718M;178;VALIDE;chap->v.4: loi serviteur lui
Marc 7:7;SKN;65-0718M;27;PARTIEL;commencé, pas achevé — vain commandements
1 Chroniques 17:0;SKN;63-0317M;66;VALIDE;chap->v.5: nai habite maison depuis jour jai monter israel
1 Corinthiens 13:0;SKN;63-0317M;248;VALIDE;chap->v.1: parle langues hommes anges suis airain resonne cymbale
Apocalypse 21:0;SKN;63-0317M;78;VALIDE;chap->v.4: dieu larme yeux mort sera aura deuil premieres
Esaie 40:0;SKN;63-0317M;297;VALIDE;chap->v.3: voix celui crie desert preparez chemin leternel aplanissez
Jean 3:16;SKN;63-0317M;392;PARTIEL;commencé, pas achevé — dieu
Jean 14:0;SKN;63-0317M;79;VALIDE;chap->v.10: moi pere pere moi moi dis dis moi
Malachie 3:0;SKN;63-0317M;297;VALIDE;chap->v.1: voici jenvoie messager preparera chemin devant moi seigneur
Malachie 3:0;SKN;63-0317M;315;VALIDE;chap->v.1: voici messager preparera chemin devant moi lalliance
Malachie 4:0;SKN;63-0317M;213;VALIDE;chap->v.5: elie grand jour
Marc 11:22;SKN;63-0317M;419;PARTIEL;commencé, pas achevé — jesus dieu
Matthieu 11:10;SKN;63-0317M;299;EXACT;cest ici celui voici moi jenvoie messager devant [couverture 9/14]
Matthieu 11:10;SKN;63-0317M;363;EXACT;cest ici moi devant [couverture 5/14]
1 Corinthiens 11:23-32;SKN;59-0301E;137;EXACT;moi jai seigneur cest jesus quil [couverture 7/14]
1 Rois 19:0;SKN;59-0301E;22;VALIDE;chap->v.10: jai leternel dieu armees fils disrael ont abandonne
1 Corinthiens 11:24;SKN;63-0324M;283;VALIDE;ceci corps moi
1 Corinthiens 12:0;SKN;63-0324M;7;VALIDE;chap->v.9: autre meme esprit autre dons meme esprit
1 Rois 17:0;SKN;63-0324M;369;VALIDE;chap->v.13: elie lui fais fais cela
1 Rois 19:0;SKN;63-0324M;330;VALIDE;chap->v.9: passa parole lui lui fais ici elie
Actes 2:0;SKN;63-0324M;151;VALIDE;chap->v.38: pierre chacun soit baptise nom jesus don saint
Actes 2:38;SKN;63-0324M;148;EXACT;pierre soit nom jesus saint esprit [couverture 6/14]
Apocalypse 5:9;SKN;63-0324M;268;EXACT;chantent cantique nouveau disant digne prendre livre den [couverture 8/14]
Apocalypse 5:9;SKN;63-0324M;270;EXACT;cantique nouveau disant digne prendre livre den ouvrir [couverture 9/14]
Apocalypse 6:0;SKN;63-0324M;267;VALIDE;chap->v.1: lagneau lun lun quatre disant
Apocalypse 6:0;SKN;63-0324M;272;VALIDE;chap->v.11: donne chacun robe blanche quils
Apocalypse 6:6;SKN;63-0324M;102;PARTIEL;commencé, pas achevé — lhuile
Apocalypse 6:6;SKN;63-0324M;282;EXACT;jentendis voix milieu quatre mesure denier mesures dorge [couverture 9/14]
Apocalypse 6:11;SKN;63-0324M;271;VALIDE;donne chacun robe blanche quils
Apocalypse 6:11;SKN;63-0324M;279;PARTIEL;commencé, pas achevé — robe blanche
Apocalypse 7:14;SKN;63-0324M;280;EXACT;dis seigneur ceux grande ont lave robes sang [couverture 8/14]
Apocalypse 11:0;SKN;63-0324M;227;VALIDE;chap->v.11: apres trois demi lesprit vie dieu
Apocalypse 11:3;SKN;63-0324M;329;PARTIEL;commencé, pas achevé — deux temoins
Apocalypse 16:0;SKN;63-0324M;367;VALIDE;chap->v.9: grande nom dieu lui donner
Apocalypse 18:8;SKN;63-0324M;367;VALIDE;cest seul mort sera dieu
Daniel 9:27;SKN;63-0324M;224;VALIDE;semaine milieu fera
Genese 4:1;SKN;63-0324M;129;VALIDE;connut eve femme concut enfanta cain jai homme
Jean 10:0;SKN;63-0324M;327;VALIDE;chap->v.9: suis porte quelquun sera
Luc 24:49;SKN;63-0324M;151;PARTIEL;commencé, pas achevé — pere puissance
Malachie 3:0;SKN;63-0324M;263;VALIDE;chap->v.1: messager preparera chemin devant moi
Malachie 3:0;SKN;63-0324M;330;VALIDE;chap->v.15: maintenant ceux meme meme
Malachie 4:0;SKN;63-0324M;329;VALIDE;chap->v.2: nom justice sera
Malachie 4:5;SKN;63-0324M;369;PARTIEL;commencé, pas achevé — elie grand
Matthieu 5:0;SKN;63-0324M;142;VALIDE;chap->v.16: ainsi hommes sorte quils quils pere
Matthieu 11:0;SKN;63-0324M;256;VALIDE;chap->v.3: lui celui devons attendre autre
Matthieu 22:11;SKN;63-0324M;323;PARTIEL;commencé, pas achevé — homme noces
Matthieu 24:0;SKN;63-0324M;69;VALIDE;chap->v.2: voyez choses dis sera ici pierre pierre
Matthieu 25:0;SKN;63-0324M;41;VALIDE;chap->v.1: alors sera dix vierges lampes
Matthieu 28:19;SKN;63-0324M;148;EXACT;nom pere fils saint esprit [couverture 5/10]
Matthieu 28:19;SKN;63-0324M;151;VALIDE;allez faites disciples nations baptisant nom pere fils
1 Corinthiens 12:0;SKN;50-0823;30;VALIDE;chap->v.13: avons baptises dun seul esprit seul corps soit
1 Corinthiens 12:0;SKN;50-0827E;5;VALIDE;chap->v.3: cest pourquoi fais savoir nul homme lesprit dieu
1 Corinthiens 12:0;SKN;52-0717;13;VALIDE;chap->v.9: autre foi meme esprit autre dons meme esprit
1 Corinthiens 12:0;SKN;52-0900;187;VALIDE;chap->v.12: corps membres membres corps seul corps christ
Actes 19:0;SKN;52-0900;172;VALIDE;chap->v.2: avez recu saint cru meme saint
Esaie 35:0;SKN;52-0900;7;VALIDE;chap->v.2: fleurira sera lallegresse lallegresse gloire liban lui sera
Jean 11:0;SKN;52-0900;148;VALIDE;chap->v.6: quil lazare etait etait
Marc 11:24;SKN;52-0900;190;EXACT;cest dis demanderez priant croyez [couverture 5/8]
1 Corinthiens 12:0;SKN;54-0301;29;VALIDE;chap->v.12: meme corps quil plusieurs membres membres corps soient
Jean 5:19;SKN;54-0301;49;EXACT;jesus dis rien lui meme quil chose pere [couverture 7/14]
1 Corinthiens 12:0;SKN;54-1219E;78;VALIDE;chap->v.15: suis main suis corps qua cela corps
Actes 2:38;SKN;54-1219E;35;EXACT;pierre repentez chacun soit baptise nom jesus peches [couverture 11/14]
Jean 5:0;SKN;54-1219E;124;VALIDE;chap->v.26: pere vie lui meme donne fils vie lui
1 Corinthiens 12:0;SKN;56-0223;17;VALIDE;chap->v.3: cest fais savoir homme parlant dieu jesus jesus
Actes 19:0;SKN;56-0223;62;VALIDE;chap->v.2: avez recu lesprit saint cru lui navons meme
