ref;traduction;code;paragraphe;statut;note;cadre
Actes 2:38;SKN;60-1225;42;EXACT;repentez chacun soit baptise nom jesus christ peches [couverture 11/14];CONCEPT
Actes 10:35;SKN;60-1225;97;PARTIEL;commencé, pas achevé — nation;CONCEPT
Apocalypse 1:20;SKN;60-1225;105;PARTIEL;commencé, pas achevé — etoiles;CONCEPT
Apocalypse 20:0;SKN;60-1225;105;VALIDE;chap->v.4: vis etaient avaient jesus;CONCEPT
Luc 2:7;SKN;60-1225;10;VALIDE;monde fils premier lemmaillota coucha creche parce quil;LECTURE
Matthieu 1:5;SKN;60-1225;17;PARTIEL;commencé, pas achevé — salmon;CONCEPT
1 Chroniques 13:0;SKN;65-0718M;27;VALIDE;chap->v.2: david cela bon cela vienne dieu nos;CONCEPT
1 Chroniques 13:0;SKN;65-0718M;29;VALIDE;chap->v.2: david cela bon cela vienne dieu nos;CONCEPT
Amos 3:7;SKN;65-0718M;117;VALIDE;seigneur rien revele prophetes;CONCEPT
Amos 3:7;SKN;65-0718M;158;VALIDE;seigneur fera revele;CONCEPT
Amos 3:7;SKN;65-0718M;160;VALIDE;seigneur fera rien revele;CONCEPT
Apocalypse 10:0;SKN;65-0718M;147;VALIDE;chap->v.7: jours sera mystere dieu sera annonce;CONCEPT
Apocalypse 10:0;SKN;65-0718M;166;VALIDE;chap->v.7: jours septieme ange sonner trompette mystere dieu;CONCEPT
Apocalypse 10:0;SKN;65-0718M;178;VALIDE;chap->v.4: sept parle disant choses sept;CONCEPT
Deuteronome 4:0;SKN;65-0718M;186;VALIDE;chap->v.1: maintenant israel ecoute ordonnances enseigne afin viviez entriez;CONCEPT
Joel 2:28;SKN;65-0718M;152;PARTIEL;commencé, pas achevé — apres cela;CONCEPT
Luc 7:7;SKN;65-0718M;138;VALIDE;suis meme dis parole;CONCEPT
Luc 17:30;SKN;65-0718M;178;PARTIEL;commencé, pas achevé — fils;CONCEPT
Malachie 4:0;SKN;65-0718M;147;VALIDE;chap->v.5: envoie prophete avant jour;CONCEPT
Malachie 4:0;SKN;65-0718M;171;VALIDE;chap->v.5: voici prophete avant vienne grand jour;CONCEPT
Malachie 4:0;SKN;65-0718M;178;VALIDE;chap->v.4: loi serviteur lui;CONCEPT
Marc 7:7;SKN;65-0718M;27;PARTIEL;commencé, pas achevé — vain commandements;CONCEPT
1 Chroniques 17:0;SKN;63-0317M;66;VALIDE;chap->v.5: nai habite maison depuis jour jai monter israel;CONCEPT
1 Corinthiens 13:0;SKN;63-0317M;248;VALIDE;chap->v.1: parle langues hommes anges suis airain resonne cymbale;CONCEPT
Apocalypse 21:0;SKN;63-0317M;78;VALIDE;chap->v.4: dieu larme yeux mort sera aura deuil premieres;CONCEPT
Esaie 40:0;SKN;63-0317M;297;VALIDE;chap->v.3: voix celui crie desert preparez chemin leternel aplanissez;CONCEPT
Jean 3:16;SKN;63-0317M;392;PARTIEL;commencé, pas achevé — dieu;CONCEPT
Jean 14:0;SKN;63-0317M;79;VALIDE;chap->v.10: moi pere pere moi moi dis dis moi;CONCEPT
Malachie 3:0;SKN;63-0317M;297;VALIDE;chap->v.1: voici jenvoie messager preparera chemin devant moi seigneur;CONCEPT
Malachie 3:0;SKN;63-0317M;315;VALIDE;chap->v.1: voici messager preparera chemin devant moi lalliance;CONCEPT
Malachie 4:0;SKN;63-0317M;213;VALIDE;chap->v.5: elie grand jour;CONCEPT
Marc 11:22;SKN;63-0317M;419;PARTIEL;commencé, pas achevé — jesus dieu;CONCEPT
Matthieu 11:10;SKN;63-0317M;299;EXACT;cest ici celui voici moi jenvoie messager devant [couverture 9/14];CONCEPT
Matthieu 11:10;SKN;63-0317M;363;EXACT;cest ici moi devant [couverture 5/14];CONCEPT
1 Corinthiens 11:23-32;SKN;59-0301E;137;EXACT;moi jai seigneur cest jesus quil [couverture 7/14];CONCEPT
1 Rois 19:0;SKN;59-0301E;22;VALIDE;chap->v.10: jai leternel dieu armees fils disrael ont abandonne;CONCEPT
1 Corinthiens 11:24;SKN;63-0324M;283;VALIDE;ceci corps moi;CONCEPT
1 Corinthiens 12:0;SKN;63-0324M;7;VALIDE;chap->v.9: autre meme esprit autre dons meme esprit;CONCEPT
1 Rois 17:0;SKN;63-0324M;369;VALIDE;chap->v.13: elie lui fais fais cela;CONCEPT
1 Rois 19:0;SKN;63-0324M;330;VALIDE;chap->v.9: passa parole lui lui fais ici elie;CONCEPT
Actes 2:0;SKN;63-0324M;151;VALIDE;chap->v.38: pierre chacun soit baptise nom jesus don saint;CONCEPT
Actes 2:38;SKN;63-0324M;148;EXACT;pierre soit nom jesus saint esprit [couverture 6/14];CONCEPT
Apocalypse 5:9;SKN;63-0324M;268;EXACT;chantent cantique nouveau disant digne prendre livre den [couverture 8/14];CONCEPT
Apocalypse 5:9;SKN;63-0324M;270;EXACT;cantique nouveau disant digne prendre livre den ouvrir [couverture 9/14];CONCEPT
Apocalypse 6:0;SKN;63-0324M;267;VALIDE;chap->v.1: lagneau lun lun quatre disant;CONCEPT
Apocalypse 6:0;SKN;63-0324M;272;VALIDE;chap->v.11: donne chacun robe blanche quils;CONCEPT
Apocalypse 6:6;SKN;63-0324M;102;PARTIEL;commencé, pas achevé — lhuile;CONCEPT
Apocalypse 6:6;SKN;63-0324M;282;EXACT;jentendis voix milieu quatre mesure denier mesures dorge [couverture 9/14];CONCEPT
Apocalypse 6:11;SKN;63-0324M;271;VALIDE;donne chacun robe blanche quils;CONCEPT
Apocalypse 6:11;SKN;63-0324M;279;PARTIEL;commencé, pas achevé — robe blanche;CONCEPT
