ref;traduction;code;paragraphe;statut;cadre;note
Actes 2:38;SKN;60-1225;42;EXACT;CONCEPT;repentez chacun soit baptise nom jesus christ peches [couverture 11/14]
Actes 10:35;SKN;60-1225;97;PARTIEL;CONCEPT;commencé, pas achevé — nation
Apocalypse 1:20;SKN;60-1225;105;PARTIEL;CONCEPT;commencé, pas achevé — etoiles
Luc 2:7;SKN;60-1225;10;VALIDE;LECTURE;monde fils premier lemmaillota coucha creche parce quil
Matthieu 1:5;SKN;60-1225;17;PARTIEL;CONCEPT;commencé, pas achevé — salmon
Amos 3:7;SKN;65-0718M;117;VALIDE;CONCEPT;seigneur rien revele prophetes
Amos 3:7;SKN;65-0718M;158;VALIDE;CONCEPT;seigneur fera revele
Amos 3:7;SKN;65-0718M;160;VALIDE;CONCEPT;seigneur fera rien revele
Apocalypse 10:7;SKN;65-0718M;166;VALIDE;CONCEPT;chapitre résolu v7 (3 mots: ange septieme trompette)
Deuteronome 4:1;SKN;65-0718M;186;VALIDE;CONCEPT;chapitre résolu v1 (7 mots: ecoute enseigne entriez israel ordonnances peres viviez)
Deuteronome 4:3;SKN;65-0718M;186;VALIDE;CONCEPT;chapitre résolu v3 (4 mots: baal detruit milieu peor)
Deuteronome 4:5;SKN;65-0718M;186;VALIDE;CONCEPT;chapitre résolu v5 (3 mots: enseigne milieu ordonnances)
Deuteronome 4:9;SKN;65-0718M;186;VALIDE;CONCEPT;chapitre résolu v9 (3 mots: garde prends tes)
Deuteronome 4:10;SKN;65-0718M;186;VALIDE;CONCEPT;chapitre résolu v10 (3 mots: paroles seront vivants)
Deuteronome 4:26;SKN;65-0718M;186;VALIDE;CONCEPT;chapitre résolu v26 (7 mots: cieux detruits entierement jourdain prolongerez serez temoin)
Deuteronome 4:34;SKN;65-0718M;186;VALIDE;CONCEPT;chapitre résolu v34 (3 mots: milieu selon tes)
Deuteronome 4:36;SKN;65-0718M;186;VALIDE;CONCEPT;chapitre résolu v36 (3 mots: cieux milieu paroles)
Deuteronome 4:40;SKN;65-0718M;186;VALIDE;CONCEPT;chapitre résolu v40 (3 mots: commandements garde tes)
Joel 2:28;SKN;65-0718M;152;PARTIEL;CONCEPT;commencé, pas achevé — apres cela
Luc 7:7;SKN;65-0718M;138;VALIDE;CONCEPT;suis meme dis parole
Luc 17:30;SKN;65-0718M;178;PARTIEL;CONCEPT;commencé, pas achevé — fils
Marc 7:7;SKN;65-0718M;27;PARTIEL;CONCEPT;commencé, pas achevé — vain commandements
1 Chroniques 17:1;SKN;63-0317M;66;VALIDE;CONCEPT;chapitre résolu v1 (6 mots: david jhabite lalliance larche leternel nathan)
1 Chroniques 17:4;SKN;63-0317M;66;VALIDE;CONCEPT;chapitre résolu v4 (4 mots: batiras david leternel serviteur)
