ref;traduction;code;paragraphe;statut;raison
1 Chroniques 2:15;SKN;60-1225;17;REJETE;passage absent, idée absente
Esaie 35:0;SKN;63-0317M;122;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Apocalypse 6:0;SKN;63-0324M;274;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;SKN;63-0324M;330;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 21:0;SKN;59-0422;50;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 9:0;SKN;60-0911E;161;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Hebreux 10:26;SKN;63-1128E;99;REJETE;passage absent, idée absente
Malachie 4:0;SKN;64-0614M;321;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;SKN;64-0614M;335;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Amos 3:7;SKN;65-1127B;251;REJETE;passage absent, idée absente
Luc 30:0;SKN;65-1127B;322;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;SKN;65-1127B;220;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 22:0;SKN;54-0515;347;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 5:12;SKN;65-1125;138;REJETE;passage absent, idée absente
Esther 21:0;SKN;65-1125;146;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 23:0;SKN;65-1125;235;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;SKN;65-1125;154;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Matthieu 5:28;SKN;57-0908E;247;REJETE;passage absent, idée absente
1 Jean 4:5;SKN;65-0801M;58;REJETE;passage absent, idée absente
Malachie 4:0;SKN;63-0116;249;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;SKN;63-0320;177;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
1 Jean 12:0;SKN;64-0705;114;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Apocalypse 17:0;SKN;64-0705;130;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Apocalypse 17:0;SKN;64-0705;132;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
