livre;chapitre;verset_de;verset_a;traduction;code;paragraphe
1 Chroniques;2;15;15;SKN;60-1225;17
1 Chroniques;13;0;0;SKN;65-0718M;27
1 Chroniques;13;0;0;SKN;65-0718M;29
1 Chroniques;17;0;0;SKN;63-0317M;66
1 Corinthiens;11;23;32;SKN;59-0301E;137
1 Corinthiens;11;24;24;SKN;63-0324M;283
1 Corinthiens;12;0;0;SKN;50-0823;30
1 Corinthiens;12;0;0;SKN;50-0827E;5
1 Corinthiens;12;0;0;SKN;52-0717;13
1 Corinthiens;12;0;0;SKN;52-0900;187
1 Corinthiens;12;0;0;SKN;54-0301;29
1 Corinthiens;12;0;0;SKN;54-1219E;78
1 Corinthiens;12;0;0;SKN;56-0223;17
1 Corinthiens;12;0;0;SKN;56-0225;15
1 Corinthiens;12;0;0;SKN;56-0723;24
1 Corinthiens;12;0;0;SKN;56-1207;28
1 Corinthiens;12;0;0;SKN;57-0114;15
1 Corinthiens;12;0;0;SKN;57-0908M;113
1 Corinthiens;12;0;0;SKN;57-0908M;117
1 Corinthiens;12;0;0;SKN;57-1002;361
1 Corinthiens;12;0;0;SKN;57-1002;364
1 Corinthiens;12;0;0;SKN;58-0207;18
1 Corinthiens;12;0;0;SKN;58-0207;49
1 Corinthiens;12;0;0;SKN;58-0214;8
1 Corinthiens;12;0;0;SKN;58-0223;11
1 Corinthiens;12;0;0;SKN;58-0312;53
1 Corinthiens;12;0;0;SKN;59-0422;53
1 Corinthiens;12;0;0;SKN;59-0814;63
1 Corinthiens;12;0;0;SKN;59-0823;126
1 Corinthiens;12;0;0;SKN;59-1125;48
1 Corinthiens;12;0;0;SKN;59-1216;131
1 Corinthiens;12;0;0;SKN;60-0911E;141
1 Corinthiens;12;0;0;SKN;61-0118;69
1 Corinthiens;12;0;0;SKN;61-0414;12
1 Corinthiens;12;0;0;SKN;61-0515;6
1 Corinthiens;12;0;0;SKN;62-0609E;36
1 Corinthiens;12;0;0;SKN;62-1014M;266
1 Corinthiens;12;0;0;SKN;62-1104M;153
1 Corinthiens;12;0;0;SKN;63-0324M;7
1 Corinthiens;12;0;0;SKN;63-0728;180
1 Corinthiens;12;0;0;SKN;63-0901M;217
1 Corinthiens;12;0;0;SKN;63-0901M;262
1 Corinthiens;12;0;0;SKN;63-1128E;177
1 Corinthiens;12;0;0;SKN;64-0208;138
1 Corinthiens;12;0;0;SKN;64-0614M;242
1 Corinthiens;12;0;0;SKN;64-0614M;287
1 Corinthiens;12;13;13;SKN;59-1217;156
1 Corinthiens;13;0;0;SKN;54-0829A;4
1 Corinthiens;13;0;0;SKN;54-1205;14
1 Corinthiens;13;0;0;SKN;56-0406;61
1 Corinthiens;13;0;0;SKN;57-0309B;13
1 Corinthiens;13;0;0;SKN;57-0915E;193
1 Corinthiens;13;0;0;SKN;59-0301M;91
1 Corinthiens;13;0;0;SKN;59-0823;112
1 Corinthiens;13;0;0;SKN;61-0217;45
1 Corinthiens;13;0;0;SKN;63-0317M;248
1 Corinthiens;13;0;0;SKN;65-1127B;247
1 Corinthiens;13;14;14;SKN;61-0723E;40
1 Corinthiens;15;0;0;SKN;52-0713A;34
1 Corinthiens;15;0;0;SKN;52-0726;29
1 Corinthiens;15;0;0;SKN;60-0417M;165
1 Corinthiens;15;29;29;SKN;54-0515;317
1 Jean;1;0;0;SKN;60-0709;24
