ref;occurrences;fichier
1 Chroniques 13:0;2;13-1-chroniques.md
1 Chroniques 17:0;1;13-1-chroniques.md
1 Corinthiens 11:23-32;1;46-1-corinthiens.md
1 Corinthiens 11:24;1;46-1-corinthiens.md
1 Corinthiens 12:0;40;46-1-corinthiens.md
1 Corinthiens 12:13;1;46-1-corinthiens.md
1 Corinthiens 13:0;10;46-1-corinthiens.md
1 Corinthiens 13:14;1;46-1-corinthiens.md
1 Corinthiens 15:0;3;46-1-corinthiens.md
1 Corinthiens 15:29;1;46-1-corinthiens.md
1 Jean 16:7;1;62-1-jean.md
1 Jean 1:0;1;62-1-jean.md
1 Jean 1:7;1;62-1-jean.md
1 Jean 1:8-10;2;62-1-jean.md
1 Jean 2:0;1;62-1-jean.md
1 Jean 2:1;1;62-1-jean.md
1 Jean 2:12;1;62-1-jean.md
1 Jean 2:15;1;62-1-jean.md
1 Jean 3:0;1;62-1-jean.md
1 Jean 3:21;2;62-1-jean.md
1 Jean 4:0;2;62-1-jean.md
1 Jean 4:3;1;62-1-jean.md
1 Jean 5:0;1;62-1-jean.md
1 Jean 5:1;1;62-1-jean.md
1 Jean 5:16;1;62-1-jean.md
1 Jean 5:18;1;62-1-jean.md
1 Jean 5:7;8;62-1-jean.md
1 Pierre 1:0;1;60-1-pierre.md
1 Pierre 1:18;1;60-1-pierre.md
1 Pierre 1:19-20;1;60-1-pierre.md
1 Pierre 3:0;1;60-1-pierre.md
1 Pierre 3:18;1;60-1-pierre.md
1 Pierre 3:19;2;60-1-pierre.md
1 Pierre 5:8-10;1;60-1-pierre.md
1 Rois 13:0;2;11-1-rois.md
1 Rois 17:0;1;11-1-rois.md
1 Rois 19:0;2;11-1-rois.md
1 Rois 19:1-12;1;11-1-rois.md
1 Samuel 18:10;1;09-1-samuel.md
1 Samuel 8:4;1;09-1-samuel.md
1 Thessaloniciens 4:16;1;52-1-thessaloniciens.md
1 Thessaloniciens 5:21;1;52-1-thessaloniciens.md
1 Timothee 2:9;1;54-1-timothee.md
1 Timothee 3:0;3;54-1-timothee.md
1 Timothee 3:16;115;54-1-timothee.md
1 corinthiens 13:13;1;46-1-corinthiens.md
2 Chroniques 18:12;1;14-2-chroniques.md
2 Chroniques 18:22-27;2;14-2-chroniques.md
2 Chroniques 22:0;1;14-2-chroniques.md
2 Chroniques 26:0;3;14-2-chroniques.md
2 Corinthiens 3:0;1;47-2-corinthiens.md
2 Corinthiens 5:17;1;47-2-corinthiens.md
2 Corinthiens 6:7-10;1;47-2-corinthiens.md
2 Corinthiens 9:0;1;47-2-corinthiens.md
2 Pierre 1:0;1;61-2-pierre.md
2 Pierre 1:7;1;61-2-pierre.md
2 Pierre 2:4;1;61-2-pierre.md
2 Pierre 3:0;1;61-2-pierre.md
2 Samuel 6:14;1;10-2-samuel.md
2 Thessaloniciens 2:3;2;53-2-thessaloniciens.md
2 Thessaloniciens 2:7;1;53-2-thessaloniciens.md
2 Thessaloniciens 2:9;1;53-2-thessaloniciens.md
2 Timothee 2:16;1;55-2-timothee.md
2 Timothee 2:4;1;55-2-timothee.md
2 Timothee 3:0;11;55-2-timothee.md
2 Timothee 3:1;1;55-2-timothee.md
2 Timothee 4:0;7;55-2-timothee.md
2 Timothee 4:2;1;55-2-timothee.md
Actes 10:0;4;44-actes.md
Actes 10:35;65;44-actes.md
Actes 10:44;51;44-actes.md
Actes 10:47;2;44-actes.md
Actes 10:48;2;44-actes.md
Actes 10:49;35;44-actes.md
Actes 10:5;2;44-actes.md
Actes 15:0;4;44-actes.md
Actes 15:14;74;44-actes.md
Actes 16:31;7;44-actes.md
Actes 18:0;2;44-actes.md
Actes 19:0;127;44-actes.md
Actes 19:11;1;44-actes.md
Actes 19:19;2;44-actes.md
Actes 19:5;18;44-actes.md
Actes 19:58;1;44-actes.md
Actes 19:6;1;44-actes.md
Actes 1:0;6;44-actes.md
Actes 1:8;129;44-actes.md
Actes 20:0;4;44-actes.md
Actes 20:24;105;44-actes.md
Actes 20:27;2;44-actes.md
Actes 22:16;2;44-actes.md
Actes 23:0;2;44-actes.md
Actes 23:11;2;44-actes.md
Actes 26:15;2;44-actes.md
Actes 28:19;2;44-actes.md
Actes 2:0;106;44-actes.md
Actes 2:17;2;44-actes.md
Actes 2:22;2;44-actes.md
Actes 2:24;90;44-actes.md
Actes 2:27;2;44-actes.md
Actes 2:30;2;44-actes.md
Actes 2:36;2;44-actes.md
Actes 2:38;235;44-actes.md
Actes 2:38-39;1;44-actes.md
Actes 2:39;1;44-actes.md
Actes 2:4;122;44-actes.md
Actes 2:6;2;44-actes.md
Actes 2:8;2;44-actes.md
Actes 3:0;1;44-actes.md
Actes 4:0;22;44-actes.md
Actes 4:32;1;44-actes.md
Actes 5:0;1;44-actes.md
Actes 5:19;1;44-actes.md
Actes 5:32;2;44-actes.md
Actes 5:9;2;44-actes.md
Actes 7:0;3;44-actes.md
Actes 7:38;2;44-actes.md
Actes 7:44-49;1;44-actes.md
Actes 7:48;2;44-actes.md
Actes 7:49;2;44-actes.md
Actes 7:55;2;44-actes.md
Actes 8:0;1;44-actes.md
Actes 8:14;2;44-actes.md
Actes 8:18;2;44-actes.md
Actes 9:0;5;44-actes.md
Actes 9:5;2;44-actes.md
Amos 3:0;3;30-amos.md
Amos 3:7;93;30-amos.md
Amos 8:11;1;30-amos.md
Apocalypse 10:0;87;66-apocalypse.md
Apocalypse 10:1;123;66-apocalypse.md
Apocalypse 10:1-7;119;66-apocalypse.md
Apocalypse 10:17;1;66-apocalypse.md
Apocalypse 10:6;2;66-apocalypse.md
Apocalypse 10:7;133;66-apocalypse.md
Apocalypse 11:0;56;66-apocalypse.md
Apocalypse 11:10;2;66-apocalypse.md
Apocalypse 11:11;1;66-apocalypse.md
Apocalypse 11:13;1;66-apocalypse.md
Apocalypse 11:3;26;66-apocalypse.md
Apocalypse 11:3-12;2;66-apocalypse.md
Apocalypse 11:4;2;66-apocalypse.md
Apocalypse 12:0;20;66-apocalypse.md
Apocalypse 12:13;2;66-apocalypse.md
Apocalypse 12:7-9;2;66-apocalypse.md
Apocalypse 13:0;51;66-apocalypse.md
Apocalypse 13:1;2;66-apocalypse.md
Apocalypse 13:1-8;2;66-apocalypse.md
Apocalypse 13:11;1;66-apocalypse.md
Apocalypse 13:14;79;66-apocalypse.md
Apocalypse 13:15;2;66-apocalypse.md
Apocalypse 13:16;2;66-apocalypse.md
Apocalypse 13:17;4;66-apocalypse.md
Apocalypse 13:4;2;66-apocalypse.md
Apocalypse 13:6;27;66-apocalypse.md
Apocalypse 13:8;114;66-apocalypse.md
Apocalypse 14:0;3;66-apocalypse.md
Apocalypse 14:6;1;66-apocalypse.md
Apocalypse 15:0;4;66-apocalypse.md
Apocalypse 15:16;1;66-apocalypse.md
Apocalypse 15:3;2;66-apocalypse.md
Apocalypse 16:0;3;66-apocalypse.md
Apocalypse 16:13;85;66-apocalypse.md
Apocalypse 16:17;1;66-apocalypse.md
Apocalypse 16:9;1;66-apocalypse.md
Apocalypse 17:0;106;66-apocalypse.md
Apocalypse 17:1;1;66-apocalypse.md
Apocalypse 17:15;102;66-apocalypse.md
Apocalypse 17:17;105;66-apocalypse.md
Apocalypse 17:3;105;66-apocalypse.md
Apocalypse 17:8;110;66-apocalypse.md
Apocalypse 18:0;6;66-apocalypse.md
Apocalypse 18:1;2;66-apocalypse.md
Apocalypse 18:8;2;66-apocalypse.md
Apocalypse 19:0;20;66-apocalypse.md
Apocalypse 19:11;109;66-apocalypse.md
Apocalypse 19:15;2;66-apocalypse.md
Apocalypse 19:2;2;66-apocalypse.md
Apocalypse 19:21;101;66-apocalypse.md
Apocalypse 1:0;45;66-apocalypse.md
Apocalypse 1:1;105;66-apocalypse.md
Apocalypse 1:1-10;1;66-apocalypse.md
Apocalypse 1:10;66;66-apocalypse.md
Apocalypse 1:17;1;66-apocalypse.md
Apocalypse 1:17-18;2;66-apocalypse.md
Apocalypse 1:18;2;66-apocalypse.md
Apocalypse 1:20;88;66-apocalypse.md
Apocalypse 1:3;1;66-apocalypse.md
Apocalypse 1:7;73;66-apocalypse.md
Apocalypse 20:0;6;66-apocalypse.md
Apocalypse 20:27;2;66-apocalypse.md
Apocalypse 20:4;105;66-apocalypse.md
Apocalypse 20:7;2;66-apocalypse.md
Apocalypse 21:0;32;66-apocalypse.md
Apocalypse 21:10;2;66-apocalypse.md
Apocalypse 21:16;2;66-apocalypse.md
Apocalypse 21:18;2;66-apocalypse.md
Apocalypse 21:19;71;66-apocalypse.md
Apocalypse 21:2;2;66-apocalypse.md
Apocalypse 21:23;68;66-apocalypse.md
Apocalypse 21:3;2;66-apocalypse.md
Apocalypse 22:0;27;66-apocalypse.md
Apocalypse 22:16;2;66-apocalypse.md
Apocalypse 22:18;113;66-apocalypse.md
Apocalypse 22:19;93;66-apocalypse.md
Apocalypse 22:8;68;66-apocalypse.md
Apocalypse 2:0;6;66-apocalypse.md
Apocalypse 2:10;4;66-apocalypse.md
Apocalypse 2:13;2;66-apocalypse.md
Apocalypse 2:17;2;66-apocalypse.md
Apocalypse 2:18;2;66-apocalypse.md
Apocalypse 2:18-20;1;66-apocalypse.md
Apocalypse 2:20;77;66-apocalypse.md
Apocalypse 2:22;2;66-apocalypse.md
Apocalypse 2:5;3;66-apocalypse.md
Apocalypse 2:6;1;66-apocalypse.md
Apocalypse 2:7;2;66-apocalypse.md
Apocalypse 2:9;1;66-apocalypse.md
Apocalypse 2:99;1;66-apocalypse.md
Apocalypse 3:0;58;66-apocalypse.md
Apocalypse 3:1-3;1;66-apocalypse.md
Apocalypse 3:14;103;66-apocalypse.md
Apocalypse 3:17;1;66-apocalypse.md
Apocalypse 3:2;2;66-apocalypse.md
Apocalypse 3:20;1;66-apocalypse.md
Apocalypse 3:21;71;66-apocalypse.md
Apocalypse 3:3;2;66-apocalypse.md
Apocalypse 3:7;3;66-apocalypse.md
Apocalypse 3:8;2;66-apocalypse.md
Apocalypse 4:0;5;66-apocalypse.md
Apocalypse 4:1;2;66-apocalypse.md
Apocalypse 4:2;2;66-apocalypse.md
Apocalypse 4:7;2;66-apocalypse.md
Apocalypse 5:0;11;66-apocalypse.md
Apocalypse 5:1;2;66-apocalypse.md
Apocalypse 5:9;103;66-apocalypse.md
Apocalypse 6:0;14;66-apocalypse.md
Apocalypse 6:1;103;66-apocalypse.md
Apocalypse 6:11;96;66-apocalypse.md
Apocalypse 6:12;95;66-apocalypse.md
Apocalypse 6:14;2;66-apocalypse.md
Apocalypse 6:3;78;66-apocalypse.md
Apocalypse 6:5;2;66-apocalypse.md
Apocalypse 6:6;96;66-apocalypse.md
Apocalypse 6:9;2;66-apocalypse.md
Apocalypse 7:0;25;66-apocalypse.md
Apocalypse 7:14;2;66-apocalypse.md
Apocalypse 8:0;2;66-apocalypse.md
Apocalypse 8:1;1;66-apocalypse.md
Apocalypse 8:7;2;66-apocalypse.md
Apocalypse 9:0;3;66-apocalypse.md
Apocalypse 9:1;2;66-apocalypse.md
Apocalypse 9:1-4;2;66-apocalypse.md
Apocalypse 9:13;2;66-apocalypse.md
Colossiens 1:0;2;51-colossiens.md
Colossiens 1:15;66;51-colossiens.md
Colossiens 1:17;2;51-colossiens.md
Colossiens 3:0;3;51-colossiens.md
Colossiens 3:26;2;51-colossiens.md
Colossiens 4:3;2;51-colossiens.md
Daniel 105:0;1;27-daniel.md
Daniel 111:0;1;27-daniel.md
Daniel 11:0;1;27-daniel.md
Daniel 129:0;1;27-daniel.md
Daniel 12:0;14;27-daniel.md
Daniel 12:1;1;27-daniel.md
Daniel 12:1-14;2;27-daniel.md
Daniel 12:3;86;27-daniel.md
Daniel 12:4;2;27-daniel.md
Daniel 131:0;1;27-daniel.md
Daniel 15:0;1;27-daniel.md
Daniel 19:0;1;27-daniel.md
Daniel 21:0;1;27-daniel.md
Daniel 2:0;1;27-daniel.md
Daniel 2:43;1;27-daniel.md
Daniel 37:0;1;27-daniel.md
Daniel 39:0;1;27-daniel.md
Daniel 3:0;1;27-daniel.md
Daniel 5:0;1;27-daniel.md
Daniel 5:12;1;27-daniel.md
Daniel 5:25;2;27-daniel.md
Daniel 63:0;1;27-daniel.md
Daniel 67:0;1;27-daniel.md
Daniel 69:0;1;27-daniel.md
Daniel 71:0;1;27-daniel.md
Daniel 73:0;1;27-daniel.md
Daniel 7:0;13;27-daniel.md
Daniel 7:9;102;27-daniel.md
Daniel 9:0;11;27-daniel.md
Daniel 9:27;2;27-daniel.md
Deuteronome 14:0;1;05-deuteronome.md
Deuteronome 14:2;2;05-deuteronome.md
Deuteronome 16:0;3;05-deuteronome.md
Deuteronome 16:1;2;05-deuteronome.md
Deuteronome 18:0;7;05-deuteronome.md
Deuteronome 18:15;112;05-deuteronome.md
Deuteronome 18:15-22;1;05-deuteronome.md
Deuteronome 18:22;69;05-deuteronome.md
Deuteronome 18:35;1;05-deuteronome.md
Deuteronome 18:5;1;05-deuteronome.md
Deuteronome 1:0;2;05-deuteronome.md
Deuteronome 22:0;1;05-deuteronome.md
Deuteronome 22:18;2;05-deuteronome.md
Deuteronome 22:23;1;05-deuteronome.md
Deuteronome 23:0;2;05-deuteronome.md
Deuteronome 30:0;2;05-deuteronome.md
Deuteronome 32:1-12;1;05-deuteronome.md
Deuteronome 32:11;82;05-deuteronome.md
Deuteronome 33:0;1;05-deuteronome.md
Deuteronome 4:0;6;05-deuteronome.md
Deuteronome 4:10;1;05-deuteronome.md
Deuteronome 4:4;2;05-deuteronome.md
Deuteronome 7:14;1;05-deuteronome.md
Deuteronome 7:7;1;05-deuteronome.md
Ecclesiaste 12:0;2;21-ecclesiaste.md
Ephesiens 1:0;14;49-ephesiens.md
Ephesiens 1:1-5;2;49-ephesiens.md
Ephesiens 1:10;2;49-ephesiens.md
Ephesiens 1:13;96;49-ephesiens.md
Ephesiens 1:13-14;93;49-ephesiens.md
Ephesiens 1:20;78;49-ephesiens.md
Ephesiens 1:21;17;49-ephesiens.md
Ephesiens 1:22;1;49-ephesiens.md
Ephesiens 1:25;1;49-ephesiens.md
Ephesiens 1:4;1;49-ephesiens.md
Ephesiens 1:4-5;1;49-ephesiens.md
Ephesiens 1:5;110;49-ephesiens.md
Ephesiens 2:0;2;49-ephesiens.md
Ephesiens 2:1;2;49-ephesiens.md
Ephesiens 2:12;89;49-ephesiens.md
Ephesiens 2:19;2;49-ephesiens.md
Ephesiens 2:2;1;49-ephesiens.md
Ephesiens 3:1-11;2;49-ephesiens.md
Ephesiens 3:15;3;49-ephesiens.md
Ephesiens 4:0;6;49-ephesiens.md
Ephesiens 4:30;218;49-ephesiens.md
Ephesiens 4:40;1;49-ephesiens.md
Ephesiens 5:0;3;49-ephesiens.md
Ephesiens 5:1;6;49-ephesiens.md
Ephesiens 5:22;2;49-ephesiens.md
Ephesiens 5:23;2;49-ephesiens.md
Ephesiens 5:25;2;49-ephesiens.md
Ephesiens 5:26;68;49-ephesiens.md
Ephesiens 5:28-32;2;49-ephesiens.md
Ephesiens 6:0;1;49-ephesiens.md
Ephesiens 6:10;2;49-ephesiens.md
Ephesiens 6:10-17;2;49-ephesiens.md
Ephesiens 6:12;1;49-ephesiens.md
Ephesiens 6:19;2;49-ephesiens.md
Esaie 10:0;1;23-esaie.md
Esaie 11:0;2;23-esaie.md
Esaie 14:0;6;23-esaie.md
Esaie 14:12;79;23-esaie.md
Esaie 18:0;2;23-esaie.md
Esaie 18:1;2;23-esaie.md
Esaie 1:0;6;23-esaie.md
Esaie 1:18;1;23-esaie.md
Esaie 1:8;2;23-esaie.md
Esaie 21:0;1;23-esaie.md
Esaie 21:1-12;2;23-esaie.md
Esaie 21:11;1;23-esaie.md
Esaie 27:0;1;23-esaie.md
Esaie 27:12;93;23-esaie.md
Esaie 28:0;16;23-esaie.md
Esaie 28:11;63;23-esaie.md
Esaie 28:18;68;23-esaie.md
Esaie 28:19;80;23-esaie.md
Esaie 28:8;65;23-esaie.md
Esaie 28:8-12;2;23-esaie.md
Esaie 29:6;1;23-esaie.md
Esaie 32:2;81;23-esaie.md
Esaie 35:0;23;23-esaie.md
Esaie 35:7;2;23-esaie.md
Esaie 38:0;2;23-esaie.md
Esaie 3:18;1;23-esaie.md
Esaie 40:0;14;23-esaie.md
Esaie 40:3;110;23-esaie.md
Esaie 42:0;1;23-esaie.md
Esaie 42:1-7;2;23-esaie.md
Esaie 45:0;2;23-esaie.md
Esaie 45:22;2;23-esaie.md
Esaie 4:1;2;23-esaie.md
Esaie 4:5;2;23-esaie.md
Esaie 50:0;1;23-esaie.md
Esaie 50:6;75;23-esaie.md
Esaie 53:0;10;23-esaie.md
Esaie 53:1;4;23-esaie.md
Esaie 53:12;104;23-esaie.md
Esaie 53:2;2;23-esaie.md
Esaie 53:5;111;23-esaie.md
Esaie 53:6;2;23-esaie.md
Esaie 53:7;2;23-esaie.md
Esaie 53:9;82;23-esaie.md
Esaie 54:1;2;23-esaie.md
Esaie 54:53;2;23-esaie.md
Esaie 5:0;6;23-esaie.md
Esaie 5:24;1;23-esaie.md
Esaie 60:0;4;23-esaie.md
Esaie 60:1;64;23-esaie.md
Esaie 61:0;7;23-esaie.md
Esaie 61:1;89;23-esaie.md
Esaie 61:1-2;1;23-esaie.md
Esaie 62:0;2;23-esaie.md
Esaie 65:0;7;23-esaie.md
Esaie 65:17;2;23-esaie.md
Esaie 65:25;2;23-esaie.md
Esaie 66:0;2;23-esaie.md
Esaie 6:0;6;23-esaie.md
Esaie 6:5;2;23-esaie.md
Esaie 6:9;2;23-esaie.md
Esaie 7:14;4;23-esaie.md
Esaie 9:0;3;23-esaie.md
Esaie 9:5;67;23-esaie.md
Esaie 9:6;175;23-esaie.md
Esther 10:0;3;17-esther.md
Esther 14:0;2;17-esther.md
Esther 16:0;1;17-esther.md
Esther 22:0;1;17-esther.md
Esther 2:0;4;17-esther.md
Esther 4:0;1;17-esther.md
Esther 6:0;3;17-esther.md
Esther 7:7;1;17-esther.md
Esther 8:0;2;17-esther.md
Esther 9:0;2;17-esther.md
Exode 10:21-23;2;02-exode.md
Exode 11:0;1;02-exode.md
Exode 12:0;3;02-exode.md
Exode 12:12;2;02-exode.md
Exode 12:3;1;02-exode.md
Exode 12:3-6;1;02-exode.md
Exode 13:0;2;02-exode.md
Exode 13:21;107;02-exode.md
Exode 13:22;2;02-exode.md
Exode 13:31;1;02-exode.md
Exode 14:0;2;02-exode.md
Exode 15:0;1;02-exode.md
Exode 17:0;1;02-exode.md
Exode 19:0;31;02-exode.md
Exode 19:16;2;02-exode.md
Exode 19:19;2;02-exode.md
Exode 19:4;2;02-exode.md
Exode 21:0;1;02-exode.md
Exode 21:6;1;02-exode.md
Exode 23:0;1;02-exode.md
Exode 23:20;1;02-exode.md
Exode 23:20-22;1;02-exode.md
Exode 25:0;1;02-exode.md
Exode 25:10;2;02-exode.md
Exode 29:0;1;02-exode.md
Exode 31:0;1;02-exode.md
Exode 33:0;1;02-exode.md
Exode 33:2;2;02-exode.md
Exode 34:12;1;02-exode.md
Exode 35:0;1;02-exode.md
Exode 37:0;1;02-exode.md
Exode 39:0;1;02-exode.md
Exode 3:0;3;02-exode.md
Exode 4:0;1;02-exode.md
Exode 4:14;2;02-exode.md
Exode 4:24;2;02-exode.md
Exode 5:0;1;02-exode.md
Exode 9:0;1;02-exode.md
Ezechiel 1:0;2;26-ezechiel.md
Ezechiel 1:26;1;26-ezechiel.md
Ezechiel 24:24;2;26-ezechiel.md
Ezechiel 28:12;109;26-ezechiel.md
Ezechiel 2:1;2;26-ezechiel.md
Ezechiel 2:3;2;26-ezechiel.md
Ezechiel 33:0;2;26-ezechiel.md
Ezechiel 33:33;1;26-ezechiel.md
Ezechiel 37:0;2;26-ezechiel.md
Ezechiel 38:0;3;26-ezechiel.md
Ezechiel 43:0;2;26-ezechiel.md
Ezechiel 44:22;2;26-ezechiel.md
Ezechiel 48:1;1;26-ezechiel.md
Ezechiel 48:1-7;1;26-ezechiel.md
Ezechiel 4:0;5;26-ezechiel.md
Ezechiel 9:0;15;26-ezechiel.md
Galates 1:0;8;48-galates.md
Galates 1:1;1;48-galates.md
Galates 1:1-4;1;48-galates.md
Galates 1:8;142;48-galates.md
Galates 1:9;2;48-galates.md
Galates 2:20;2;48-galates.md
Galates 3:0;2;48-galates.md
Galates 3:16;69;48-galates.md
Galates 3:26;2;48-galates.md
Galates 3:26-28;1;48-galates.md
Galates 3:29;86;48-galates.md
Galates 4:0;1;48-galates.md
Galates 4:19;1;48-galates.md
Galates 4:27;87;48-galates.md
Galates 4:27-31;2;48-galates.md
Galates 5:0;3;48-galates.md
Galates 5:22;1;48-galates.md
Galates 5:6;1;48-galates.md
Genese 11:0;1;01-genese.md
Genese 12:0;18;01-genese.md
Genese 12:15;2;01-genese.md
Genese 12:3;2;01-genese.md
Genese 13:0;4;01-genese.md
Genese 13:14;1;01-genese.md
Genese 13:16;1;01-genese.md
Genese 14:0;4;01-genese.md
Genese 14:18;104;01-genese.md
Genese 14:18-19;1;01-genese.md
Genese 14:22;1;01-genese.md
Genese 15:0;10;01-genese.md
Genese 15:16;69;01-genese.md
Genese 15:5;1;01-genese.md
Genese 15:7;1;01-genese.md
Genese 15:9;2;01-genese.md
Genese 17:0;10;01-genese.md
Genese 17:1;1;01-genese.md
Genese 18:0;12;01-genese.md
Genese 19:0;1;01-genese.md
Genese 1:0;63;01-genese.md
Genese 1:1;8;01-genese.md
Genese 1:11;113;01-genese.md
Genese 1:21;1;01-genese.md
Genese 1:26;131;01-genese.md
Genese 1:27;1;01-genese.md
Genese 1:28;81;01-genese.md
Genese 1:3;5;01-genese.md
Genese 20:0;1;01-genese.md
Genese 20:7;2;01-genese.md
Genese 21:0;1;01-genese.md
Genese 22:0;50;01-genese.md
Genese 22:1;1;01-genese.md
Genese 22:1-9;1;01-genese.md
Genese 22:14;114;01-genese.md
Genese 22:15;1;01-genese.md
Genese 22:16;68;01-genese.md
Genese 22:7;1;01-genese.md
Genese 23:0;2;01-genese.md
Genese 24:0;1;01-genese.md
Genese 24:56;1;01-genese.md
Genese 24:58;1;01-genese.md
Genese 24:7;2;01-genese.md
Genese 25:0;1;01-genese.md
Genese 29:0;1;01-genese.md
Genese 2:0;26;01-genese.md
Genese 2:18-21;64;01-genese.md
Genese 2:7;93;01-genese.md
Genese 31:0;1;01-genese.md
Genese 33:0;1;01-genese.md
Genese 35:0;3;01-genese.md
Genese 37:0;3;01-genese.md
Genese 38:0;8;01-genese.md
Genese 39:0;1;01-genese.md
Genese 3:0;10;01-genese.md
Genese 3:1;95;01-genese.md
Genese 3:1-17;1;01-genese.md
Genese 3:14;1;01-genese.md
Genese 3:15;1;01-genese.md
Genese 3:16;103;01-genese.md
Genese 3:24;2;01-genese.md
Genese 3:4;3;01-genese.md
Genese 3:8;90;01-genese.md
Genese 41:0;1;01-genese.md
Genese 43:0;1;01-genese.md
Genese 44:0;2;01-genese.md
Genese 44:49;2;01-genese.md
Genese 45:0;6;01-genese.md
Genese 48:0;2;01-genese.md
Genese 49:0;4;01-genese.md
