annonce;dit_en_realite;traduction;code;paragraphe;preuve
Ephesiens 1:25;colossiens 1:25;SKN;56-0223;15;v3
1 Jean 16:7;jean 16:7;SKN;59-1216;59;v3
Colossiens 3:26;colossiens 3:11;SKN;60-0911E;155;v3
Actes 10:49;actes 10:48;SKN;61-0118;60;v3
Actes 10:49;actes 10:44;SKN;62-1014M;164;v3
Joel 2:38;actes 2:38;SKN;57-0309B;11;v3
1 Corinthiens 13:14;1 corinthiens 13:13;SKN;61-0723E;40;v3
Actes 10:49;actes 10:44;SKN;54-0515;112;v3
Actes 10:49;actes 10:48;SKN;54-0515;218;v3
Hebreux 10:26;Ephesiens 4:30;SKN;59-1223;173;v3
Joel 2:38;joel 2:26;SKN;65-1125;154;v3
Actes 10:49;actes 10:44;SKN;65-0801M;199;v3
Apocalypse 10:17;apocalypse 10:7;SKN;63-0320;197;v3
Joel 2:38;joel 2:11;SKN;63-0320;197;v3
1 Pierre 5:8-10;Daniel 12:1;SKN;62-0311;20;v3
2 Thessaloniciens 2:3;Matthieu 4:8;SKN;63-0319;267;v3
Genese 44:49;genese 44:8;SKN;54-0103E;165;v3
Joel 2:38;actes 2:38;SKN;63-0707M;164;v3
Actes 10:49;actes 10:44;VGR;54-0515;112;v3
Actes 10:49;actes 10:48;VGR;54-0515;218;v3
Colossiens 3:26;colossiens 3:11;VGR;60-0911E;155;v3
Actes 10:49;actes 10:48;SKN;54-0103M;42;v3
Actes 10:49;actes 10:48;SKN;55-0806;54;v3
Actes 10:49;actes 10:48;SKN;57-0925;111;v3
Actes 10:49;actes 10:48;SKN;58-0523;38;v3
Actes 10:49;actes 10:44;SKN;60-0807;9;v3
Actes 10:49;actes 10:46;SKN;60-0807;19;v3
Job 7:27;job 7:4;SKN;60-1125;55;v3
Matthieu 11:6;Genese 1:11;SKN;62-0407;39;v3
Actes 10:49;actes 10:44;SKN;63-0608;82;v3
Actes 10:49;actes 10:48;VGR;54-0103M;42;v3
Actes 10:49;actes 10:48;VGR;57-0925;111;v3
