ref;traduction;code;paragraphe;nb_mots;mots
Luc 16:24;SKN;47-1102;41;3;aie pitie tourmente
Luc 2:29;SKN;47-1123;5;4;esclave laisses paix selon
Luc 11:32;SKN;47-1123;5;4;condamneront jugement leveront predication
Luc 17:7;SKN;47-1123;5;6;avance dise esclave mets revient suite
Luc 24:21;SKN;47-1123;5;3;arrivees israel troisieme
Luc 24:44;SKN;47-1123;5;7;accomplies disais ecrites fallait paroles prophetes soient
Luc 2:4;SKN;49-1225;35;9;appelee bethlehem david famille galilee joseph judee monta nazareth
Luc 2:7;SKN;49-1225;35;3;coucha creche premier
Luc 2:4;SKN;50-0115;24;3;david judee nazareth
Luc 2:25;SKN;50-0405;10;6;attendait consolation disrael jerusalem pieux simeon
Luc 2:27;SKN;50-0405;10;7;apportaient egard loi parents selon temple vint
Luc 24:28;SKN;50-0715;3;3;allaient approcherent fit
Luc 1:67;SKN;50-0810;5;4;fut prophetisa rempli zacharie
Luc 2:4;SKN;50-0810;5;3;bethlehem famille judee
Luc 2:22;SKN;50-0810;5;4;jerusalem loi purification selon
Luc 2:25;SKN;50-0810;5;6;attendait consolation disrael jerusalem pieux simeon
Luc 2:26;SKN;50-0810;5;3;averti divinement verrait
Luc 2:27;SKN;50-0810;5;7;apportaient egard loi parents selon temple vint
Luc 2:34;SKN;50-0810;5;5;benit israel marie plusieurs simeon
Luc 7:37;SKN;50-0810;5;3;parfum plein table
Luc 7:46;SKN;50-0810;5;3;nas parfum pieds
Luc 17:15;SKN;50-0810;5;4;dentre glorifiant gueri voix
Luc 18:43;SKN;50-0810;5;3;glorifiant louange vue
Luc 24:30;SKN;50-0810;5;4;arriva benit pain table
Luc 7:38;SKN;50-0813E;12;3;cheveux larmes pleurant
Luc 24:33;SKN;50-0827E;5;4;jerusalem levant lheure sen
Luc 2:25;SKN;51-0507;17;6;attendait consolation disrael jerusalem pieux simeon
Luc 2:27;SKN;51-0507;17;7;apportaient egard loi parents selon temple vint
Luc 2:25;SKN;51-0507;20;4;attendait consolation disrael simeon
Luc 2:25;SKN;51-0507;21;4;attendait consolation disrael simeon
Luc 2:25;SKN;51-0714;12;6;attendait consolation disrael jerusalem pieux simeon
Luc 2:27;SKN;51-0714;12;7;apportaient egard loi parents selon temple vint
Luc 2:22;SKN;51-0714;27;4;jerusalem loi purification selon
Luc 17:20;SKN;51-0720;8;3;attirer lattention royaume
Luc 11:32;SKN;51-0720;12;3;jonas ninive repentis
Luc 2:25;SKN;51-0930E;8;6;attendait consolation disrael jerusalem pieux simeon
Luc 2:27;SKN;51-0930E;8;7;apportaient egard loi parents selon temple vint
Luc 2:25;SKN;51-0930E;28;4;attendait consolation disrael simeon
Luc 7:38;SKN;52-0224;183;3;arroser larmes pleurant
Luc 7:44;SKN;52-0224;183;3;larmes simon tournant
Luc 24:23;SKN;52-0224;183;4;disent quelles venues vision
Luc 7:38;SKN;52-0715;32;3;larmes pleurant tenant
Luc 16:24;SKN;52-0715;72;3;aie pitie tourmente
Luc 17:7;SKN;52-0720A;58;3;avance champs esclave
Luc 2:25;SKN;52-0727;8;6;attendait consolation disrael jerusalem pieux simeon
Luc 2:27;SKN;52-0727;8;7;apportaient egard loi parents selon temple vint
Luc 2:25;SKN;52-0809;1;4;attendait consolation disrael simeon
Luc 2:25;SKN;52-0809;12;3;attendait consolation disrael
Luc 8:50;SKN;52-0816;50;3;crains layant repondit
Luc 2:25;SKN;52-0817A;11;6;attendait consolation disrael jerusalem pieux simeon
Luc 2:27;SKN;52-0817A;11;7;apportaient egard loi parents selon temple vint
Luc 2:4;SKN;52-0817A;38;3;bethlehem david judee
Luc 2:25;SKN;52-0817A;46;4;attendait consolation disrael simeon
Luc 1:14;SKN;52-0900;7;3;dallegresse joie rejouiront
Luc 16:24;SKN;53-0215E;2;3;aie pitie tourmente
Luc 2:25;SKN;53-0217;5;5;attendait consolation jerusalem pieux simeon
Luc 2:27;SKN;53-0217;5;5;egard loi selon temple vint
Luc 2:34;SKN;53-0217;5;3;benit israel simeon
Luc 16:24;SKN;53-0218;2;3;aie pitie tourmente
Luc 1:80;SKN;53-0325;31;4;croissait fut israel manifestation
Luc 2:28;SKN;53-0325;31;3;benit bras prit
Luc 2:34;SKN;53-0325;31;4;benit israel marie plusieurs
Luc 5:8;SKN;53-0325;31;4;ayant jeta pecheur simon
Luc 7:37;SKN;53-0325;31;3;plein table vase
Luc 7:43;SKN;53-0325;31;4;davantage justement quitte simon
Luc 10:1;SKN;53-0325;31;4;devait envoya face lieux
Luc 17:29;SKN;53-0325;31;3;fit lot sortit
Luc 18:7;SKN;53-0325;31;5;crient elus ferait justice nuit
Luc 21:24;SKN;53-0325;31;4;jerusalem nations seront tranchant
Luc 24:1;SKN;53-0325;31;4;apportant premier quelles semaine
Luc 24:30;SKN;53-0325;31;5;arriva benit pain prit table
Luc 24:33;SKN;53-0325;31;3;jerusalem levant onze
Luc 7:38;SKN;53-0326;184;4;cheveux essuyait larmes pleurant
Luc 7:38;SKN;53-0328;66;3;mit pieds pleurant
Luc 2:25;SKN;53-0507;11;6;attendait consolation disrael jerusalem pieux simeon
Luc 2:27;SKN;53-0507;11;7;apportaient egard loi parents selon temple vint
Luc 2:25;SKN;53-0507;33;3;attendait consolation disrael
Luc 11:32;SKN;53-0509;5;3;jonas ninive repentis
Luc 7:46;SKN;53-0513;23;3;dhuile nas oint
Luc 18:43;SKN;53-0602;5;3;louange voyant vue
Luc 16:24;SKN;53-0604;1;3;aie pitie tourmente
Luc 2:22;SKN;53-0607E;11;4;jerusalem loi purification selon
Luc 7:38;SKN;53-0608E;14;5;larmes mit pieds pleurant tenant
Luc 2:34;SKN;53-0612;10;4;benit israel plusieurs simeon
Luc 7:27;SKN;53-0612;10;5;chemin ecrit face jenvoie lequel
Luc 7:36;SKN;53-0612;10;3;entrant manger table
Luc 7:45;SKN;53-0612;10;3;couvrir mas pieds
Luc 11:24;SKN;53-0612;10;3;cherchant nen secs
Luc 24:17;SKN;53-0612;10;3;marchant quels tenez
Luc 2:4;SKN;53-0613;14;5;appelee famille judee monta nazareth
Luc 2:38;SKN;53-0613;14;7;attendaient celle delivrance jerusalem louait parlait survenant
Luc 7:49;SKN;53-0613;14;4;memes mirent pardonne peches
Luc 10:3;SKN;53-0613;14;4;agneaux envoie loups milieu
Luc 11:24;SKN;53-0613;14;5;cherchant dou nen retournerai sorti
Luc 11:31;SKN;53-0613;14;5;condamnera entendre generation jugement vint
Luc 17:20;SKN;53-0613;14;5;attirer etant lattention royaume viendrait
Luc 17:27;SKN;53-0613;14;7;buvait donnait larche mangeait mariage noe vint
Luc 17:28;SKN;53-0613;14;3;arriva buvait mangeait
Luc 18:5;SKN;53-0613;14;3;cesse mennuie peur
Luc 18:43;SKN;53-0613;14;3;donna suivit vue
Luc 19:4;SKN;53-0613;14;4;allait courant monta passer
Luc 17:15;SKN;53-0614A;40;4;dentre glorifiant gueri haute
Luc 17:20;SKN;53-0614A;40;3;attirer lattention royaume
Luc 18:43;SKN;53-0614A;40;4;donna glorifiant louange vue
Luc 24:20;SKN;53-0614A;40;4;chefs condamne lont sacrificateurs
Luc 24:10;SKN;53-0729;63;3;furent magdala marie
Luc 16:24;SKN;53-0830E;2;4;aie leau pitie tourmente
Luc 2:25;SKN;53-0903;4;6;attendait consolation disrael jerusalem pieux simeon
Luc 2:27;SKN;53-0903;4;7;apportaient egard loi parents selon temple vint
Luc 2:34;SKN;53-0903;4;7;benit chute israel marie plusieurs relevement simeon
Luc 2:38;SKN;53-0903;4;5;attendaient delivrance jerusalem louait parlait
Luc 2:25;SKN;53-0903;17;4;attendait consolation disrael simeon
