ref;traduction;code;paragraphe;nb_mots;mots
Joel 2:28;SKN;47-0412;80;4;jeunes songes vieillards visions
Jean 5:24;SKN;47-1123;5;4;croit entend envoye jugement
Matthieu 24:24;SKN;47-1123;5;7;faux grands maniere possible prodiges prophetes signes
Joel 2:28;SKN;47-1123;5;4;arrivera chair filles verront
Jean 5:7;SKN;47-1123;5;4;descend jette malade viens
Hebreux 1:1;SKN;47-1123;5;5;autrefois peres plusieurs prophetes reprises
Apocalypse 10:1;SKN;47-1123;5;4;ange pieds puissant vis
Hebreux 3:1;SKN;47-1123;5;5;celeste considerez sacrificateur saints souverain
Marc 11:23;SKN;47-1123;5;4;aura dira jette ote
Matthieu 1:18;SKN;47-1123;5;5;ensemble etant joseph naissance soient
Apocalypse 10:7;SKN;47-1123;5;4;ange nouvelle prophetes voix
Apocalypse 22:18;SKN;47-1123;5;6;ecrites entend paroles prophetie rends temoignage
Apocalypse 10:1-7;SKN;47-1123;5;4;ange pieds puissant vis
1 Timothee 3:16;SKN;47-1123;5;7;anges chair cru eleve manifeste nations preche
Apocalypse 22:19;SKN;47-1123;5;4;ecrits ote paroles prophetie
Esaie 28:19;SKN;47-1123;5;4;entendre nuit passera prendra
Hebreux 9:11;SKN;47-1123;5;4;etant parfait sacrificateur souverain
Apocalypse 17:8;SKN;47-1123;5;4;ecrits monter noms vue
Matthieu 10:1;SKN;47-1123;5;7;appele autorite chasser disciples douze guerir maladie
Esaie 40:3;SKN;47-1123;5;4;chemin desert route voix
Apocalypse 17:15;SKN;47-1123;5;4;eaux foules langues nations
Hebreux 11:1;SKN;47-1123;5;4;celles conviction espere voit
Matthieu 12:42;SKN;47-1123;5;4;entendre jugement midi vint
Esaie 61:1;SKN;47-1123;5;4;apporter bonnes brise envoye
Apocalypse 19:21;SKN;47-1123;5;5;bouche chair cheval fut tue
Matthieu 24:29;SKN;47-1123;5;4;aussitot donnera puissances seront
Apocalypse 17:17;SKN;47-1123;5;6;accomplies curs paroles pensee royaume soient
Exode 13:21;SKN;47-1123;5;5;allait chemin conduire marchent nuit
Esaie 28:18;SKN;47-1123;5;5;alliance fleau foules passera serez
Matthieu 11:10;SKN;47-1123;5;4;chemin ecrit face lequel
Apocalypse 17:3;SKN;47-1123;5;4;desert noms sept vis
Ezechiel 28:12;SKN;47-1123;5;5;eleve etais forme plein roi
Apocalypse 20:4;SKN;47-1123;5;5;ames fut jugement temoignage vis
Matthieu 19:28;SKN;47-1123;5;4;douze serez suivi trone
Apocalypse 19:11;SKN;47-1123;5;6;appele blanc cheval fidele juge vis
Luc 21:24;SKN;47-1123;5;4;jerusalem nations pieds seront
Apocalypse 2:20;SKN;47-1123;5;4;enseigne idoles laisses manger
Matthieu 18:10;SKN;47-1123;5;4;anges face garde voient
Esaie 27:12;SKN;47-1123;5;5;arrivera fleau fleuve rassembles serez
Apocalypse 16:13;SKN;47-1123;5;4;bouche faux grenouilles vis
Esaie 53:12;SKN;47-1123;5;4;ame aura grands plusieurs
Apocalypse 1:1;SKN;47-1123;5;4;ange arriver donnee esclave
Galates 4:27;SKN;47-1123;5;5;cris eclate ecrit joie nes
Hebreux 9:11-14;SKN;47-1123;5;4;etant parfait sacrificateur souverain
