personnage;mentions_total;mentions_SKN;mentions_VGR;sermons;top5
jean;6205;4247;1958;1015;"63-0317E(82);63-0318(69);60-1231(63);60-1204M(61);61-0101(59)"
moise;5977;3845;2132;914;"63-0714M(139);64-0614M(108);60-0911M(92);65-0725M(86);64-0629(56)"
abraham;5421;3997;1424;759;"55-0109M(97);64-0402(90);57-0915E(76);64-0404(66);54-1212(63)"
paul;5141;3358;1783;972;"63-0728(64);62-0908(60);57-0901M(60);63-0717(58);53-0729(44)"
pierre;5097;3518;1579;983;"54-0515(57);62-1014M(45);54-1219E(43);61-0101(40);62-1104M(38)"
david;3020;2068;952;732;"65-0718M(78);65-1127B(56);63-1214(53);58-1228(38);64-0614M(34)"
elie;2511;1764;747;626;"65-0718E(53);61-1112(50);60-1211E(47);56-1125M(43);59-0609(40)"
noe;2016;1311;705;470;"62-0531(43);55-0522(38);63-0623E(34);56-0115(33);63-1110M(32)"
marie;1957;1408;549;613;"65-0218(32);65-0429B(24);62-1223(22);60-0724(20);64-0823E(18)"
joseph;1950;1369;581;575;"60-1204M(54);56-1230(44);65-1126(34);61-0730E(32);63-1216(30)"
sara;1731;1234;497;453;"65-0218(34);65-1126(22);62-0706(21);65-0426(21);59-0424A(19)"
daniel;1320;789;531;390;"61-0806(95);61-0730E(81);61-0730M(81);55-0109E(38);63-0318(28)"
matthieu;1319;832;487;423;"57-0925(42);65-0725M(42);63-0323(36);61-0108(34);61-0425B(26)"
philippe;1293;1068;225;478;"64-0318(20);58-1005E(19);59-0404(12);57-1229(12);62-0122(11)"
eve;1265;817;448;292;"63-0728(53);63-0320(34);65-0829(31);62-0211(28);65-0801M(28)"
adam;1249;868;381;365;"63-0728(29);57-1006(26);63-0317E(26);54-0516(25);65-0221M(24)"
esaie;1184;782;402;391;"62-1013(45);63-1130B(33);63-1114(30);64-0215(27);64-0315(27)"
josue;1084;733;351;300;"60-0911M(88);60-0515E(30);55-0119(22);54-1114(22);63-0901M(18)"
cain;975;655;320;217;"57-1006(50);65-1031M(28);65-1125(28);57-0925(24);53-0403(24)"
jacob;972;662;310;388;"60-0221(46);63-0323(18);58-0928E(16);57-0420(14);61-1119(14)"
lot;961;667;294;315;"64-0402(23);63-1110M(22);58-0202(21);57-0915E(16);62-0506(16)"
job;921;609;312;227;"65-1127E(60);60-0417S(38);61-0808(27);57-0420(26);64-0417(26)"
jonas;917;746;171;352;"64-0321E(25);65-0217(22);63-0605(19);63-0724(18);63-0628E(15)"
salomon;766;603;163;213;"64-0306(52);64-0618(22);62-0612(21);56-1001(20);63-0605(17)"
isaac;757;541;216;267;"65-0218(17);65-0429B(14);60-0221(14);65-1126(13);59-0418(13)"
malachie;666;370;296;175;"64-0719M(20);65-1206(16);64-0313(16);64-0321E(14);63-0116(14)"
lazare;661;510;151;277;"57-0407E(18);64-0417(16);64-0213(15);60-0402(13);52-0900(11)"
elisee;634;443;191;227;"56-1002E(76);56-1125M(31);58-1005E(28);56-0728(12);56-1206(12)"
abel;541;397;144;170;"56-1230(17);65-0418E(12);53-1129A(12);57-1006(11);63-0421(11)"
rebecca;534;384;150;208;"63-0121(22);59-0418(21);64-0321B(20);59-0611(12);58-0517(12)"
jacques;509;373;136;256;"65-1126(18);64-0427(9);63-0114(8);60-1231(8);56-0923(7)"
samson;428;306;122;105;"63-0804A(62);63-0628M(48);59-0628M(38);63-0120E(34);63-1201E(25)"
michee;388;259;129;74;"65-0725M(34);57-0120E(28);55-0724(18);54-0509(18);57-0115(15)"
melchisedek;361;169;192;58;"57-0915E(62);65-0221E(55);55-0109M(49);57-0915M(20);57-0922E(18)"
jeremie;359;233;126;151;"61-0730M(38);65-0725M(21);65-0123(18);62-1223(14);61-0618(12)"
marthe;354;275;79;143;"64-0213(20);64-0417(18);60-0402(11);51-1003(8);51-0729A(8)"
samuel;334;200;134;92;"60-0515M(30);60-0610(21);58-1005M(19);53-0609A(18);63-0120M(18)"
simeon;332;299;33;67;"58-0328(15);62-1223(13);61-0205M(13);54-0804(13);61-0308(13)"
andre;321;271;50;128;"64-0307(14);62-0620(9);62-0610E(8);62-0118(8);61-0212E(7)"
juda;295;178;117;106;"61-0611(22);63-0317E(20);58-1228(14);57-1006(12);61-0108(10)"
joel;289;201;88;136;"62-0422(19);61-1105(6);59-1216(6);63-0320(6);56-0311A(5)"
esau;282;190;92;107;"60-0221(42);59-1223(11);60-0607(10);65-0124(9);60-0911M(8)"
pilate;257;162;95;89;"63-1124M(56);64-0126(28);63-0122(9);63-1229E(8);57-0303E(6)"
timothee;256;154;102;119;"62-0908(18);65-0725M(14);58-0927(8);65-0822M(6);62-0601(4)"
caleb;253;168;85;108;"54-1114(11);60-0522M(8);56-0527(8);57-0613A(7);64-0816(6)"
aaron;251;185;66;126;"56-0513(12);61-1015E(12);56-0101(7);54-0330(6);59-0708M(6)"
enoch;250;150;100;116;"65-1204(14);64-0802(9);56-0115(9);62-0531(7);64-0830M(7)"
zacharie;235;181;54;90;"62-1223(10);61-0730E(10);65-0725E(10);60-1204M(8);53-0607A(7)"
ruth;233;159;74;62;"60-1002(39);54-0404E(22);61-0618(20);58-1228(16);55-1119(9)"
nicodeme;221;143;78;101;"62-1111E(38);63-0803B(10);61-1231M(6);62-1104M(6);60-0911E(6)"
ezechiel;193;127;66;83;"61-0108(12);57-0120M(10);61-0101(10);61-1112(6);59-0628E(6)"
amos;189;120;69;32;"62-0513M(55);63-0119(35);64-0411(18);63-0724(11);63-0319(8)"
goliath;183;133;50;80;"55-0118(10);62-0311(9);56-1125M(6);60-0522E(6);63-0714M(6)"
elisabeth;167;145;22;58;"62-1223(12);60-0311(7);64-0619(7);59-1126(6);55-0612(6)"
thomas;163;109;54;83;"54-1219M(10);63-0113E(6);62-0527(6);57-0915M(6);60-1210(4)"
etienne;152;105;47;74;"54-1219E(7);61-0903(6);56-0401M(6);65-0418M(5);65-0410(5)"
herode;145;91;54;62;"62-1209(16);63-0122(10);60-1225(8);61-0723E(6);58-1221M(4)"
jude;137;109;28;69;"54-0404M(7);56-0225(5);53-0614A(5);55-0501E(5);55-0220E(4)"
anne;124;102;22;84;"62-1223(6);65-0124(4);61-1112(3);63-0825M(3);55-0109M(3)"
benjamin;121;75;46;56;"63-0318(9);63-0324E(6);61-0730E(6);60-1204M(6);60-0518(6)"
rahab;96;61;35;41;"60-0911M(17);63-0901M(16);63-1214(6);63-0113E(4);60-1225(4)"
