zone;fichier;code;date;titre;traduction;paragraphes;mots;remarque
ZONE_1;03_47-0412_a_50-0819_35x.txt;47-0412;12 avr. 1947;La Foi Est l'Assurance;Shekinah;106;18884;
ZONE_1;03_47-0412_a_50-0819_35x.txt;47-0412;12 avr. 1947;La foi est une ferme assurance;VGR;277;18619;
ZONE_1;03_47-0412_a_50-0819_35x.txt;47-1100;nov. 1947;Communion;Shekinah;1;431;
ZONE_1;03_47-0412_a_50-0819_35x.txt;47-1102;2 nov. 1947;L'Ange de Dieu (L'Ange et Sa Commission);Shekinah;51;11137;
ZONE_1;03_47-0412_a_50-0819_35x.txt;47-1123;23 nov. 1947;Les Enfants d’Israël (Les enfants dans le désert);Shekinah;5;13198;
ZONE_1;03_47-0412_a_50-0819_35x.txt;47-1207;7 déc. 1947;Expériences #1;Shekinah;97;23017;
ZONE_1;03_47-0412_a_50-0819_35x.txt;47-1221;21 déc. 1947;Expériences #2;Shekinah;24;4676;
ZONE_1;03_47-0412_a_50-0819_35x.txt;48-0000;1948;Ligne De Prière;Shekinah;27;3283;
ZONE_1;03_47-0412_a_50-0819_35x.txt;48-0302;2 mars 1948;Expériences;Shekinah;147;31073;
ZONE_1;03_47-0412_a_50-0819_35x.txt;48-0304;4 mars 1948;L'Ange De Dieu;Shekinah;61;11959;
ZONE_1;03_47-0412_a_50-0819_35x.txt;48-0305;5 mars 1948;Sur Ta Parole, Seigneur;Shekinah;50;9913;
ZONE_1;03_47-0412_a_50-0819_35x.txt;49-0718;18 juil. 1949;Je N'ai Point Été Désobéissant À La Vision Céleste;Shekinah;33;6511;
ZONE_1;03_47-0412_a_50-0819_35x.txt;49-1225;25 déc. 1949;La Divinité De Jésus-Christ;Shekinah;148;10965;
ZONE_1;03_47-0412_a_50-0819_35x.txt;49-1225;25 déc. 1949;La Divinité de Jésus-Christ;VGR;148;10869;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0100;janv. 1950;Les Maladies et les Afflictions;Shekinah;177;11162;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0100;janv. 1950;Les maladies et les afflictions;VGR;177;11036;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0110;10 janv. 1950;La Commission De Moise, (L'explication De Deux Signes);Shekinah;53;8956;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0115;15 janv. 1950;Crois-Tu Cela?;Shekinah;67;10926;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0200;févr. 1950;Nous N’avons Point Ici-Bas De Cité Permanente;Shekinah;70;16865;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0227;27 févr. 1950;Dieu Dans Son Peuple;Shekinah;35;6328;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0300;mars 1950;Les Dons Et Les Appels Sont Sans Repentir;Shekinah;36;6741;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0405;5 avr. 1950;Expectative;Shekinah;87;15585;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0409;9 avr. 1950;Service De Baptême;Shekinah;8;2471;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0711;11 juil. 1950;Le Ministère Expliqué;Shekinah;55;9642;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0713;13 juil. 1950;Obéis À La Voix De l’Ange;Shekinah;10;7779;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0714;14 juil. 1950;Sur Ta Parole;Shekinah;46;8129;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0715;15 juil. 1950;Conduit Par l'Esprit;Shekinah;33;7122;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0716;16 juil. 1950;Crois-Tu Cela?;Shekinah;91;16048;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0808;8 août 1950;La Guérison Et Ce Qu'est La Maladie;Shekinah;24;4382;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0810;10 août 1950;Expectative;Shekinah;5;14288;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0811;11 août 1950;La Piscine De Bethesda;Shekinah;35;8052;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0813A;13 août 1950, après-midi;La Resurrection de Lazare;Shekinah;59;9891;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0813E;13 août 1950, soir;Dieu Se Révèle À Son Peuple;Shekinah;70;13850;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0814;14 août 1950;Témoignage;Shekinah;49;9877;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0815;15 août 1950;L'Attitude Et Qui Est Dieu?;Shekinah;60;11549;
ZONE_1;03_47-0412_a_50-0819_35x.txt;50-0816;16 août 1950;Regarder À l’Invisible;Shekinah;46;9388;
